#Classification	SRR5091543_bracken_P.kreport
k__Bacteria	3435594
k__Bacteria|p__Bacteroidetes	1672653
k__Bacteria|p__Firmicutes	1419483
k__Bacteria|p__Actinobacteria	75646
k__Bacteria|p__Proteobacteria	267473
k__Bacteria|p__Verrucomicrobia	173
k__Bacteria|p__Fusobacteria	155
k__Bacteria|p__Candidatus_Saccharibacteria	7
k__Eukaryota	56
k__Eukaryota|k__Viridiplantae	56
k__Eukaryota|k__Viridiplantae|p__Streptophyta	56
k__Viruses	32
k__Viruses|k__Heunggongvirae	32
k__Viruses|k__Heunggongvirae|p__Uroviricota	32
