#Classification	S-2-POLJUN-B_bracken_P.kreport
k__Bacteria	1225025
k__Bacteria|p__Proteobacteria	918462
k__Bacteria|p__Actinobacteria	228405
k__Bacteria|p__Cyanobacteria	4968
k__Bacteria|p__Firmicutes	11280
k__Bacteria|p__Armatimonadetes	48
k__Bacteria|p__Deinococcus-Thermus	27
k__Bacteria|p__Chloroflexi	15
k__Bacteria|p__Tenericutes	54
k__Bacteria|p__Bacteroidetes	30449
k__Bacteria|p__Gemmatimonadetes	77
k__Bacteria|p__Acidobacteria	23988
k__Bacteria|p__Planctomycetes	5061
k__Bacteria|p__Verrucomicrobia	1399
k__Bacteria|p__Chlamydiae	59
k__Bacteria|p__Kiritimatiellaeota	297
k__Bacteria|p__Candidatus_Saccharibacteria	22
k__Bacteria|p__Spirochaetes	339
k__Bacteria|p__Synergistetes	60
k__Bacteria|p__Nitrospirae	3
k__Bacteria|p__Elusimicrobia	1
k__Bacteria|p__Fusobacteria	1
k__Eukaryota	13794
k__Eukaryota|k__Viridiplantae	7785
k__Eukaryota|k__Viridiplantae|p__Streptophyta	7696
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	89
k__Eukaryota|k__Fungi	3205
k__Eukaryota|k__Fungi|p__Ascomycota	2337
k__Eukaryota|k__Fungi|p__Basidiomycota	867
k__Eukaryota|k__Metazoa	2779
k__Eukaryota|k__Metazoa|p__Chordata	2779
k__Eukaryota|p__Euglenozoa	12
k__Eukaryota|p__Apicomplexa	5
k__Eukaryota|p__Cercozoa	3
k__Eukaryota|p__Bacillariophyta	2
k__Archaea	10
k__Archaea|p__Euryarchaeota	10
k__Viruses	5
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
