#Classification	S-2-POLJUN-B_bracken_C.kreport
k__Bacteria	1224738
k__Bacteria|p__Proteobacteria	918462
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	456872
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	341503
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	111989
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	7725
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	74
k__Bacteria|p__Proteobacteria|c__Oligoflexia	28
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	266
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	2
k__Bacteria|p__Actinobacteria	233369
k__Bacteria|p__Actinobacteria|c__Actinomycetia	220240
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	4592
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	3128
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	372
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	63
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	4973
k__Bacteria|p__Firmicutes	11280
k__Bacteria|p__Firmicutes|c__Bacilli	11250
k__Bacteria|p__Firmicutes|c__Clostridia	24
k__Bacteria|p__Firmicutes|c__Negativicutes	5
k__Bacteria|p__Tenericutes	54
k__Bacteria|p__Tenericutes|c__Mollicutes	54
k__Bacteria|p__Armatimonadetes	48
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	30
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	18
k__Bacteria|p__Deinococcus-Thermus	27
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	27
k__Bacteria|p__Chloroflexi	15
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	10
k__Bacteria|p__Chloroflexi|c__Tepidiformia	1
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	1
k__Bacteria|p__Chloroflexi|c__Anaerolineae	1
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	1
k__Bacteria|p__Bacteroidetes	30449
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	23678
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	5370
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	795
k__Bacteria|p__Bacteroidetes|c__Cytophagia	482
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	111
