#Classification	S-6-DICUND-B_bracken_O.kreport
k__Bacteria	1409732
k__Bacteria|p__Proteobacteria	714595
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	313789
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	183276
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	48827
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	51635
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	21665
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	7421
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	482
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	64
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	300
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	22
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	12
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	39
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	37
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	264679
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	247774
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	9774
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2243
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	4886
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	126368
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	27448
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	21485
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	53054
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	3117
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	8366
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	4233
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	648
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2921
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	243
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	585
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	521
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	99
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2712
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	305
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	202
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	34
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	193
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	103
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	66
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	21
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	8780
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	5947
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	1423
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	635
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	207
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	34
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	36
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	362
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	125
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfurellales	8
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	224
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	224
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	516
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	516
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	137
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	137
k__Bacteria|p__Proteobacteria|c__Oligoflexia	89
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	56
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	32
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	10
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales	10
k__Bacteria|p__Actinobacteria	582246
k__Bacteria|p__Actinobacteria|c__Actinomycetia	537119
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	224390
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	70137
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	57823
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	43968
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	48026
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	26472
