feature	Acidaminococcus	Actinomyces	Adlercreutzia	Agathobaculum	Akkermansia	Alistipes	Amedibacillus	Anaerobutyricum	Anaerococcus	Anaerofilum	Anaerofustis	Anaeromassilibacillus	Anaerosacchariphilus	Anaerostipes	Anaerotignum	Anaerotruncus	Bacteria.unclassified	Bacteroidales.unclassified	Bacteroides	Barnesiella	Bianquea	Bifidobacterium	Bilophila	Bittarella	Blautia	Bradyrhizobium	Brotolimicola	Butyricicoccus	Butyricimonas	Campylobacter	Catenibacillus	Catenibacterium	Christensenella	Christensenellaceae.unclassified	Cibionibacter	Clostridia.unclassified	Clostridiaceae.unclassified	Clostridium	Colidextribacter	Collinsella	Coprobacillus	Coprococcus	Corynebacterium	Cuneatibacter	Desulfovibrio	Dialister	Dielma	Diplocloster	Dorea	Dysosmobacter	Eggerthella	Eisenbergiella	Enterocloster	Erysipelatoclostridium	Erysipelotrichaceae.unclassified	Escherichia	Eubacteriaceae.unclassified	Eubacteriales.Family.XIII.Incertae.Sedis.unclassified	Eubacteriales.unclassified	Eubacterium	Evtepia	Ezakiella	Faecalibacillus	Faecalibacterium	Faecalicatena	Faecalimonas	Faecalitalea	Fenollaria	Flavonifractor	Frisingicoccus	Fumia	Fusicatenibacter	GGB12785	GGB13404	GGB13489	GGB1456	GGB2652	GGB2653	GGB2848	GGB2980	GGB2982	GGB2987	GGB2998	GGB3000	GGB3005	GGB3033	GGB3034	GGB3052	GGB3109	GGB31234	GGB3256	GGB3277	GGB3278	GGB3280	GGB32900	GGB3304	GGB3321	GGB3345	GGB33469	GGB33512	GGB3352	GGB33586	GGB3363	GGB3433	GGB3444	GGB34797	GGB3480	GGB3511	GGB3534	GGB3537	GGB3550	GGB3588	GGB3593	GGB3612	GGB3619	GGB36331	GGB3653	GGB3730	GGB3740	GGB3819	GGB38266	GGB3828	GGB38744	GGB42389	GGB4277	GGB4456	GGB45432	GGB45491	GGB4552	GGB45613	GGB4564	GGB4567	GGB4683	GGB51441	GGB51647	GGB51959	GGB52130	GGB58158	GGB58233	GGB74511	GGB9176	GGB9186	GGB9189	GGB9211	GGB9290	GGB9293	GGB9296	GGB9301	GGB9302	GGB9342	GGB9345	GGB9347	GGB9365	GGB9453	GGB9474	GGB9491	GGB9502	GGB9509	GGB9512	GGB9522	GGB9524	GGB9531	GGB9534	GGB9545	GGB9559	GGB9563	GGB9602	GGB9614	GGB9634	GGB9635	GGB9640	GGB9667	GGB9697	GGB9699	GGB9707	GGB9708	GGB9712	GGB9715	GGB9719	GGB9730	GGB9739	GGB9747	GGB9758	GGB9759	GGB9760	GGB9766	GGB9767	GGB9770	GGB9781	GGB9787	GGB9790	Gemella	Gemmiger	Gordonibacter	Granulicatella	Guopingia	Haemophilus	Holdemanella	Holdemania	Hungatella	Hydrogeniiclostridium	Hydrogenoanaerobacterium	Intestinibacter	Intestinimonas	Kineothrix	Lachnoclostridium	Lachnospira	Lachnospiraceae.unclassified	Lachnotalea	Lacrimispora	Lactobacillus	Lactococcus	Lawsonibacter	Lentihominibacter	Leuconostoc	Ligaoa	Ligilactobacillus	Limosilactobacillus	Longibaculum	Longicatena	Luoshenia	Massiliimalia	Massilimicrobiota	Massilioclostridium	Massilistercora	Mediterraneibacter	Megamonas	Megasphaera	Merdimonas	Mesorhizobium	Mogibacterium	Monoglobus	Neglectibacter	Neobittarella	Odoribacter	Oliverpabstia	Oscillibacter	Oscillospiraceae.unclassified	Parabacteroides	Paraprevotella	Parasutterella	Paratractidigestivibacter	Parvimonas	Peptoniphilus	Peptostreptococcus	Phascolarctobacterium	Phocaeicola	Phocea	Porphyromonas	Prevotella	Pseudoflavonifractor	Pseudoruminococcus	Ralstonia	Raoultibacter	Romboutsia	Roseburia	Rothia	Ruminococcus	Ruthenibacterium	Saccharibacteria.unclassified	Schaalia	Segatella	Sellimonas	Senegalimassilia	Simiaoa	Slackia	Solobacterium	Sphingomonas	Staphylococcus	Streptococcus	Sutterella	Turicibacter	Tyzzerella	Veillonella	Vescimonas	Wansuia	Wujia	Yeguia	Youxingia	Zhenpiania
NS34	0	0	0	0	265177	580753	0	10647	80996	0	926	3473	0	9969	0	24016	2476	2100	11056837	0	7933	728049	0	0	64998	0	2535	0	0	25582	0	0	0	0	171052	764	0	441926	0	181002	172585	20750	0	0	0	14204	1427	807	49100	73048	49616	151499	77814	37301	0	168882	0	17260	11970	24208	65557	61740	11500	180200	3777	0	0	158111	32404	0	0	3784	0	0	0	66025	0	10500	4359	7472	2173	0	0	0	193255	0	0	0	114594	2289	0	0	0	0	0	0	0	0	0	0	0	4151	0	22301	0	0	0	0	0	0	0	0	0	0	0	0	14345	0	0	27186	0	0	3655	12926	61695	8717	0	0	0	94	0	0	0	0	420407	0	0	159	2815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1707	2922	0	0	0	0	0	4012	9076	0	0	0	0	3137	0	0	0	931	0	271979	0	145729	0	0	180867	0	0	0	0	0	6678	0	0	0	640	0	0	0	154673	17133	0	2659	0	0	31448	1719414	26343	63	105505	8226	0	233521	0	55968	0	0	0	0	31790	5317	0	0	0	0	0	0	0	0	0	516	0	1537982	0	0	0	0	0	23685	98655	0	181057	7528	0	432330	858639	0	6643	0	18588	222210	19984	414103	577	0	142549	36757	0	162652	0	0	12390	11383	0	107414	78211	0	21944	192	0	0	0	35081	0	0	0	11300	0	62525	1082429	458	202827	0	0	0	0	0
NS36	0	0	3029	5630	4575718	1727201	0	113213	0	0	0	58426	0	96404	137781	18455	0	0	1864394	327263	0	570425	21368	184	266139	0	2801	0	70092	0	0	0	7906	0	1597037	3463	55647	162502	0	320408	25600	0	0	610	142186	1321	3518	3021	90225	203743	14297	4465	304263	6769	0	0	0	0	17230	7453	74286	2066	168025	187301	1716	0	0	34748	190838	46186	165	586927	0	0	0	0	0	46845	23370	0	3705	7505	0	0	0	0	0	0	55666	0	0	1585750	0	0	0	0	0	0	631916	0	0	0	0	85888	4070	0	0	3433	0	0	577	0	0	0	0	0	0	0	0	9120	0	0	0	0	0	0	0	0	0	879	0	0	0	1813	0	2496	0	0	3663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127994	4641	4078	0	0	13393	2785	0	7102	8997	0	0	0	0	0	0	0	0	0	0	545253	0	0	0	339719	266002	0	0	0	0	0	0	0	0	0	0	0	0	0	512048	0	0	29110	0	0	56649	142469	62180	2826	17125	220849	0	66107	237066	164466	0	2683	821	0	11559	9329	0	1118	0	0	2332	0	18142	341	3029	4745	2785	171780	0	0	3169	0	0	1077294	94805	0	70021	91084	173680	1092931	503944	0	0	0	0	3452	0	519625	1003788	2609	18799	2532	81327	0	0	0	74404	10526	0	1305835	315539	0	0	0	33306	0	2549	0	0	0	615	13163	20380	18281	34484	0	0	18350	0	0	0	4281
NS38	0	0	24017	6152	2057439	657651	0	195397	0	0	0	43472	0	477389	0	270	0	0	2057320	138768	1090	3471737	6286	537	259205	0	71429	0	10378	0	0	0	4342	84	307270	0	309006	58588	0	79091	98845	219833	0	0	36236	156039	4022	0	66386	28067	2703	0	28009	23416	0	8803	0	0	27857	30978	12940	0	38018	620898	8899	0	0	0	6247	3695	0	70101	0	0	0	0	0	2781	617	4553	4653	2601	1387	35339	30155	0	210	0	43598	0	0	0	0	0	10850	1326220	23833	0	34177	144253	0	2250	0	0	0	0	13948	0	1882	307	0	0	0	0	73775	28362	6933	0	0	0	0	0	186	0	0	0	6224	186	273843	0	0	308286	400458	0	0	0	0	375	459	0	2459	0	1695	18741	0	36633	459	13069	0	64253	44360	50371	43440	10079	0	593	2302	7174	0	2515	1715	0	2924	21326	0	4785	56366	0	810	0	3094	0	0	1102	10398	102065	0	10612	6404	21873	0	0	352275	0	46636	21971	0	28037	16910	2280	6128	0	94132	8614	0	769	1637	0	2517	0	0	6204	5090	325	57410	4765	159070	222144	0	559	0	0	18455	19374	0	3683	46578	0	0	0	192	0	0	0	6334	55918	0	0	0	0	0	31838	8743	0	56228	25155	134285	377502	243005	0	0	0	0	0	0	0	592090	0	0	0	3943	53729	0	0	29269	62003	0	952739	42352	0	0	0	0	0	0	0	0	0	0	9533	5861	0	0	0	1791	0	0	1910	0	1461
NS39	0	0	0	46752	62474	690468	0	82237	0	313	0	8226	5008	335704	37995	0	4678	0	868639	91178	0	1696727	11650	997	587954	0	710	6291	2098	0	0	0	2026	0	1138249	0	108019	247042	0	132732	3467	609932	0	0	0	963778	332	0	348213	1672	0	0	2792	0	244911	338	1865	0	14894	96448	18841	0	38483	6686718	6420	0	0	0	7191	0	0	179565	0	0	13804	0	9739	0	0	0	0	0	23144	0	0	180	0	0	0	0	355145	712538	0	0	0	2205	0	0	1535	0	1827	0	0	0	0	3424	0	0	0	0	0	0	0	0	678	0	64377	0	115718	0	0	632	0	0	0	10198	656	0	205694	0	0	0	0	0	0	0	0	389	0	0	0	8196	0	0	0	0	2808	0	9568	0	0	0	0	0	962	14584	6337	0	0	0	0	0	378	0	0	0	0	2403	0	272565	2586	0	0	58463	0	57836	0	177153	2738	83512	415	4860	0	0	74853	17710	81500	2462	0	0	3711	0	900984	0	0	1152	3904	33816	1463	0	190	0	6374	421	42253	0	28485	900357	0	10176	0	0	469	3775	0	841	0	0	0	0	0	0	0	220	0	89419	174983	0	0	0	0	0	0	0	82419	31464	377466	91465	93740	0	0	0	9541	0	0	76008	805958	0	0	0	1522	0	0	0	9246	99945	0	469636	13038	2146	0	523542	0	22456	4606	12920	1508	0	0	39429	13094	104	0	43663	70234	171	61671	439	640	0
NS4	0	0	0	79673	0	150302	0	47094	0	0	0	0	0	1222783	20609	0	665	0	1867355	0	0	1496815	2807	0	370460	0	69967	0	0	0	0	0	0	0	111773	0	265637	433623	69919	35754	0	53422	0	0	0	148801	0	0	84371	30326	3439	0	0	6683	0	109004	0	0	54320	57038	0	0	22566	4531278	13998	0	0	0	10702	0	0	127013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36008	0	0	0	0	0	0	0	0	0	0	0	0	0	1170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	2949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207330	0	0	0	39481	0	2465	0	138	0	731	0	0	2957	4075703	2134676	0	70888	0	0	122	42	0	0	0	0	808	0	0	0	0	0	0	79602	0	0	0	0	0	0	0	535	23516	43297	62522	0	46617	0	0	0	966	0	1671	0	3116840	0	0	5753	0	0	0	0	0	2258677	0	461436	0	0	0	106	3831	0	0	0	0	0	0	75021	851015	643	0	20867	11856	0	0	0	0	0
NS40	0	0	564	106059	0	583297	0	450927	0	0	0	63522	5598	535386	0	71	33711	0	246479	157553	0	2502755	0	2631	979246	0	49090	0	0	0	190	0	4292	0	2442147	7150	526743	177982	0	284634	0	438149	0	0	0	1064	11625	2433	1237460	30001	0	847	22489	12775	0	2724	735	0	29162	102987	57006	2870	33536	3562849	146902	0	0	20115	25116	0	0	353534	0	15708	27658	194	44866	0	0	0	36301	0	1817	0	0	0	0	178825	0	0	922	0	0	2435168	0	7187548	0	0	15365	0	0	11364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66769	181415	37469	0	675	0	0	0	0	0	0	0	0	0	0	0	0	10222	0	687	12502	0	4169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21033	0	0	0	3631	0	0	0	0	2012	0	0	0	49150	0	0	0	0	46851	15204	123297	92288	0	0	118838	104	0	0	1284	42515	0	0	0	0	4583	0	0	424461	11968	0	9375	0	151298	7419	996	10860	6912	6415	0	0	36323	84078	1921935	0	5348	0	0	20936	68975	612	0	461381	0	0	0	0	0	0	564	0	231505	129000	254819	0	0	172	781446	0	347	12592	183587	748616	1429821	225927	30714	0	238794	0	1235	0	44982	543547	2549	6124	19999	3463	0	0	0	3064	970061	0	737636	92766	1784	0	496622	0	0	12047	86253	2959	0	0	18989	25057	0	0	0	556987	381	0	1373	0	2583
NS41	0	0	0	61010	79664	1728700	0	11270	0	851	0	0	5041	68779	96272	397	28912	0	2038192	410826	0	292752	297	576	99675	0	20959	0	9039	4378	0	618049	188	0	131137	4915	169131	339447	0	51821	0	1645435	0	611	0	0	0	781	227606	41971	0	0	34145	5102	25647	0	52856	0	8764	64358	12012	0	0	5608478	27502	0	0	4120	10728	0	0	62092	0	14482	55235	31	31417	0	4504	0	9375	0	31434	0	0	0	0	0	0	0	1753689	0	0	275172	0	706613	9899	56195	0	0	0	4129	0	0	92	0	0	0	0	0	201	0	0	0	0	0	943	64746	18759	17197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8206	380	476	0	0	0	0	0	39548	0	0	0	0	14967	0	0	0	0	0	17302	42647	0	8105	3204	39313	0	10510	0	0	0	0	9026	83627	92204	0	15783	0	298789	63772	56191	0	1099994	0	14809	362	0	3322	6307	11501	1082	29492	0	0	0	0	0	171306	0	0	10296	0	102365	5591	0	415	2405	0	3274	38016	3701	270485	4211258	2959	13469	0	0	8227	13295	0	1951	113744	0	0	0	0	244	0	0	0	78625	130037	50447	0	0	0	47449	0	13	70354	59486	866723	516169	772624	67212	864	15957	0	0	0	84090	1152867	192	3251	14390	0	0	0	0	6233	1089152	0	102509	30095	0	0	13220876	0	11357	3308	8861	0	0	0	12623	196939	0	0	0	725992	0	61031	1781	895	0
NS46	0	187	87124	3606	45858	200506	0	139330	335	0	307	32431	0	786935	14315	1688	1938	0	1213542	0	83012	1147232	13854	4211	1249595	0	25737	0	19071	2682	2826	0	20317	0	3248184	3922	13728	94849	0	0	141470	1551316	0	0	0	240663	942	0	616654	24795	52152	1376	44040	43875	0	11425	10510	0	2474	146448	124627	1670	57802	756405	21319	0	0	18902	13409	0	975	214829	0	0	0	13313	45852	0	18706	0	59180	0	44886	0	0	0	2703	0	124248	0	0	2594235	0	0	0	2199123	17575	3410	9734	12945	0	123	5908	500	0	0	0	0	0	4653	0	0	0	0	77564	0	90477	0	0	2441	138	0	10890	0	3476	11438	49031	0	393442	527	0	0	0	150	858582	0	0	436	1640	0	0	0	7651	0	13939	37157	0	0	0	0	0	0	83413	0	0	4412	1562	4701	0	8653	0	21256	2736	0	1851	11404	68071	0	222505	233930	0	0	32371	74233	304	73152	0	267508	493532	0	0	40516	147589	21614	6137	0	0	5017	0	1899	39523	0	140901	8710	0	15988	0	0	8037	1379	4599	0	12955	0	0	7281	29548	1904260	0	0	9003	0	3901	13755	0	2549	0	0	259	4217	18222	5364	533	0	0	730491	0	0	0	0	858	36988	0	566	29214	258927	138265	112518	52107	0	2661	0	0	4918	0	0	638229	0	13415	119649	2893	0	0	0	49245	333114	0	1948830	162329	0	0	485	0	0	21500	0	268	0	4960	0	0	89722	0	0	41717	4527	0	1562	90	111
NS51	0	942	0	156030	0	2986	0	1000672	2851	0	0	0	0	1898234	784	0	13988	1052	144288	8212	0	4457313	0	462	4174325	1151	18792	4379	0	246	0	0	213	0	710640	2312	560987	397348	99	1187743	0	132206	0	0	1169	293	0	0	334084	202	0	0	7285	82388	0	101551	0	0	60269	422662	64395	28976	0	3728507	0	0	0	60771	12782	0	0	1912446	0	0	0	2397	0	0	0	0	0	0	0	0	0	0	0	0	31809	0	9986	0	0	0	0	1810	0	0	0	0	0	0	0	64413	0	0	0	7787	0	0	36009	0	0	0	0	0	0	0	0	10188	0	0	0	0	7582	50763	1176	0	0	0	0	0	0	0	562966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6853	0	0	2309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	23923	0	0	0	0	0	0	65986	0	0	0	0	0	0	0	2184428	0	0	0	0	0	7784	19217	0	0	83598	0	0	17422	5779	2891045	0	13229	61177	0	0	35819	0	0	0	6208	0	0	0	0	0	0	0	1655057	0	0	0	20049	0	26155	0	524	0	659420	927	434743	12526	3456	0	0	0	68832	0	15685	382860	0	88783	5955	3456	0	24231	0	503954	927389	209	1666903	1231	2206	0	4669	9576	0	2243	38449	0	1176	0	219050	4786	4427	0	7674	15813	2631	0	0	0	0
NS55	0	734	5514	75610	1359	4319	2456	210831	0	0	0	0	0	504509	4333	0	1638	0	273078	0	0	414579	0	0	2469792	0	95214	2576	0	0	0	0	676	0	931899	572	248425	217638	0	65835	0	109967	0	0	0	23083	530	0	400064	0	35975	0	16038	70652	0	3381	0	0	43684	670050	39460	978	1656017	1864071	180402	0	0	0	5247	0	538	739276	0	0	0	0	0	0	0	0	3212	0	0	0	0	0	0	0	56125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15404	0	0	0	0	0	0	17553	0	0	0	0	0	0	5382	32	0	0	0	0	0	0	0	0	0	0	0	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6034	0	0	0	13692	0	0	0	0	0	0	0	0	0	118961	6930	0	0	0	0	17688	143	450	0	3919	0	0	3188	246751	10247457	0	18666	0	2957	0	9362	0	0	0	0	0	0	0	146	0	0	0	494520	0	0	0	0	0	15033	0	1715	4672	337174	35255	283881	0	0	0	0	0	37	0	0	298072	0	0	0	0	0	0	0	154249	980241	0	1445682	9113	3018	0	0	82	0	6461	0	0	0	0	69493	0	1455	607	0	4879	0	0	0	0	0
NS58	0	35470	0	40221	0	0	0	473029	0	0	0	0	0	5073711	0	0	0	0	5200	0	0	1856958	0	0	14624422	0	1118	0	0	0	0	0	0	0	508	0	205036	37634	0	188880	0	281445	0	0	0	0	0	0	1465008	0	1767	0	0	61299	0	0	8022	1709	1470236	66762	0	0	1362941	501167	0	1362	0	0	2407	0	0	4654031	16795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60649	0	0	0	0	0	0	2231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80125	107	0	0	0	0	0	35383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5883	0	0	0	114819	0	0	0	0	0	0	18216	1451722	0	15189	0	2832	0	25315	0	0	0	22620	0	0	693	0	8128800	0	0	0	0	0	752	195	0	0	0	0	0	0	0	0	0	0	712184	0	0	0	625	0	0	0	0	0	0	684	891864	308	0	0	0	0	0	0	6225	17699	0	0	0	0	0	23289	0	668950	2723006	376	859	4990	12942	24900	153600	0	0	0	72567	620	0	0	580061	976	510985	0	6591	0	0	0	0	0	0
NS6	0	0	0	111111	308	1920282	0	752672	9490	0	0	0	0	2317197	0	655	12237	0	3679658	0	0	0	1075	2450	2519513	0	141378	0	0	0	0	0	0	0	90175	2482	247666	806940	0	130282	6381	282351	0	0	0	13959	9675	0	1084818	23414	72383	2916	10834	36320	0	266	2065	336	87578	692064	0	55396	396581	2900954	0	0	0	237882	23319	0	0	1006926	0	0	0	13697	0	0	0	0	0	0	0	0	0	0	0	0	68319	0	0	989512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10564	0	0	0	0	576704	0	0	0	0	0	42203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162118	8065	0	0	74025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83528	0	0	0	0	0	8579	297640	2853	2149	15146	0	0	12486	20309	3649906	0	23179	0	0	0	20984	0	0	0	0	0	0	0	0	0	0	0	591299	0	0	0	0	0	0	0	5842	128350	468516	226678	886469	741622	0	9594	0	0	46162	0	0	4820644	0	157369	76882	1211	5184	0	0	65897	652448	0	212698	32368	315	0	606	0	0	0	0	0	0	0	32854	0	0	0	298	49222	3623	0	0	0	0
NS62	0	432	64319	8282	195280	182695	0	532252	0	177	2574	3365	0	2348467	0	1137	0	5598	122147	0	6277	644347	0	3008	4324447	0	95893	0	0	0	0	0	4795	2279	996231	4893	54875	214398	0	0	0	1165209	5126	468	0	0	0	331	405378	554	8601	43	18403	47865	0	0	1902	0	74567	27293	86140	0	200075	544365	1842	0	0	0	1725	41115	46	871746	0	0	0	0	0	8455	429	15789	6402	6778	0	0	25830	0	0	0	61865	0	673165	0	0	0	41833	0	0	0	0	283	0	947	0	0	530	0	0	2619	0	36	0	0	0	0	0	0	19143	0	0	9359	0	0	0	0	0	343	3250	420	0	811	0	0	0	0	0	0	0	417	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8563	873	0	4987	0	0	9062	4787	3272	823	0	0	0	0	0	0	0	0	0	0	13748	0	6358	0	39868	18255	0	0	0	0	0	27295	0	0	0	0	0	0	0	0	13062	0	0	0	0	12036	2056	1593	1434	41180	0	0	17965	86912	3446773	1542	0	0	4113	72	37976	0	0	0	0	0	42197	0	1370	0	0	983	248630	0	0	0	0	0	27808	39743	554	1091	384508	3919	817973	23877	0	235	0	0	0	0	15523	36474	0	0	0	0	0	0	0	58857	133321	0	3101601	11582	247	1202	34	0	0	2139	0	0	0	0	50062	0	0	0	0	37969	1912	0	0	0	4135
NS67	0	8423	62646	88225	148354	0	0	304896	0	6784	2680	267166	0	10973	326607	6764	0	0	88008	0	45814	3326725	12460	0	808363	0	63638	0	0	0	0	0	0	22649	548350	15669	67956	530267	0	354132	0	370393	0	7655	0	7378786	0	0	1186330	0	12893	35772	90941	57205	0	17602	0	1396	92996	3967	211829	3034	0	789296	24570	0	0	2179	14264	1413	15398	43789	2947	5347	0	0	0	59421	3196	0	17527	0	3150	0	197348	0	10856	0	71968	2692	1907533	0	0	0	30421	3789217	0	56720	138603	0	0	4617	0	0	0	0	0	0	18761	0	0	0	0	0	49165	0	129193	0	17436	0	525	0	0	8409	0	2104	61396	25174	0	0	0	0	0	0	0	1354	0	7997	0	0	5326	179221	0	60358	0	0	0	0	0	0	0	0	0	10560	27804	3488	0	61750	0	0	0	5226	7122	18194	0	80919	0	0	0	0	0	0	0	0	0	1725541	0	1348602	178058	0	0	0	0	0	178241	0	0	0	6426	0	0	0	1236619	0	0	0	0	0	0	17540	0	0	47123	0	0	50173	210137	508166	0	1288	0	0	2350	0	0	13573	453579	0	0	36259	0	0	9160	0	0	3453983	0	0	0	392	142	0	0	0	0	0	7576	2722754	6993	0	0	0	325	66755	0	0	79315	26137	0	31530	0	0	6022	0	87258	277822	0	3009044	352499	5117	9231	113137	16131	0	95684	64567	1179	0	0	44531	0	19903	88954	654	0	8951	0	0	0	0
NS7	0	27168	0	58978	0	540062	0	530263	0	0	0	4337	3561	317922	0	0	0	0	78377	0	0	5189709	12955	0	3473127	0	4531	0	0	0	0	0	0	0	67950	1431	189408	506745	883	294004	0	208255	0	0	0	312214	0	0	1481259	5411	49002	0	76	0	0	3859	2508	391	25821	21598	0	0	48874	5556917	3526	0	0	0	222	0	0	354838	13381	0	0	0	0	0	0	0	0	0	0	0	0	4825	0	0	38682	0	0	0	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2643	0	0	634012	0	0	1853	0	0	0	113352	1812	0	0	0	0	0	0	0	644592	0	0	0	0	783	0	0	0	0	0	0	0	0	0	5504	0	0	0	0	0	0	4500	0	0	0	0	0	1396	0	3426	0	0	416	0	0	0	0	16759	23552	0	98724	0	108142	0	58196	149	0	0	40065	22727	9540	0	0	0	0	0	4240	662483	925	1819	0	18259	0	1060	0	0	10236	743111	0	0	0	157646	1958358	0	104644	1205	0	0	10098	0	0	2313706	0	0	0	0	0	0	0	0	275482	90338	342818	0	0	59	0	0	0	7680	149146	250849	283338	19863	0	1205	0	0	0	946	16357	146146	0	0	7922	0	0	0	0	2583136	527096	551	278228	284	9904	7894	1644311	0	0	12723	0	2951	0	0	265046	65002	161626	0	81107	121721	114	36230	0	0	1271
NS70	3734	459	9097	194437	0	6117	0	600388	0	0	0	0	0	1875020	0	0	704	0	103806	0	0	1814293	0	0	5076485	503	33849	0	0	0	0	0	172	0	251606	2660	204614	425897	0	712526	0	400470	0	0	0	0	0	0	690377	2671	13451	9384	4800	4154	0	0	2452	675	0	59847	26199	0	620172	3702506	0	0	0	0	4390	0	0	898438	0	0	0	0	0	0	862	0	2689	0	0	0	0	0	0	0	19938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	678	0	0	9664	0	0	0	0	0	0	0	127151	0	0	0	0	0	0	381	625	0	0	0	0	0	0	63348	2329862	3665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1181	0	0	0	76785	0	0	0	0	0	0	12719	0	0	0	0	0	0	0	94899	4954	0	0	0	0	9222	0	2484	0	9355	0	0	4451	456408	9510340	0	1698	0	12751	0	35763	0	0	0	1016	0	0	0	1996	4753	0	0	78418	0	0	0	19134	503	0	0	0	0	422910	34833	114414	21852	26914	0	0	0	0	0	19551	253333	0	0	0	0	0	23995	0	134931	53074	1278	411932	11312	233	0	3031056	0	0	16740	0	0	406	0	564607	7130	42541	0	5112	30213	5755	0	0	0	9596
NS71	0	1259	42766	0	1178592	44953	0	521132	0	537	12889	6052	0	4361420	0	1920	0	0	723823	0	389	3772734	0	688	1978531	0	4177	0	0	0	6482	432924	7553	6538	200203	0	2662731	718316	0	526851	192278	70169	0	767	0	1765	5388	0	381057	1452	14943	29312	81843	35213	0	0	11183	28	9063	15136	121835	0	10498	96442	16099	0	222089	0	6751	63441	6286	155145	0	0	0	372	0	34673	8736	61614	595	2175	0	0	0	45807	4446	0	69559	196	0	0	0	0	16278	1476	0	11189	69738	267095	44541	127	0	0	255	0	0	0	55	7824	0	0	0	0	0	0	29305	0	0	0	0	0	15587	31924	0	16265	35344	41358	0	612	0	0	0	0	975183	0	0	1507	0	0	2901	5096	0	15074	0	5233	0	3685	0	430151	190802	0	24684	96256	7883	0	0	0	175078	1879	2013	0	0	8124	0	18917	0	0	0	0	0	0	0	151299	0	0	0	31060	10546	0	0	0	0	0	0	0	0	702686	153067	44197	0	637	14489	1848	0	5547	0	292	5323	385	3317	9187	115033	0	0	60216	4421	42796	2040	0	0	5522	5333	167666	0	0	0	0	0	2464	5481	2522	4855	2329	609103	385035	0	0	46337	0	1917	61277	30296	0	1345	4222	19206	1024521	21061	0	0	0	114	0	0	207446	214616	0	0	427	1077	0	0	3038	1051961	11795	31	2213229	310432	0	8292	2123	4428	0	3045	354	427	0	0	140405	0	124151	1991769	0	1741	19471	40023	1504	0	15776
