#Classification	S-11-POLJUN-G_bracken_O.kreport
k__Bacteria	1211694
k__Bacteria|p__Proteobacteria	1027827
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	541427
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	340812
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	162416
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	27280
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	6681
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	3976
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	170
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	33
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	17
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	14
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	18
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	277647
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	97344
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	131086
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	46194
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	428
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	427
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	317
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	96
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	124
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	280
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	81
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	954
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	89
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	39
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	72
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	20
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	40
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	43
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	205639
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	200689
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2618
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1187
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1143
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2961
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2547
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	217
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	84
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	11
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	12
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	52
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	35
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	32
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	32
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	54
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	54
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	38
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	38
k__Bacteria|p__Proteobacteria|c__Oligoflexia	24
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	22
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	1
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	1
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales	1
k__Bacteria|p__Actinobacteria	81005
k__Bacteria|p__Actinobacteria|c__Actinomycetia	77574
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	20393
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	16846
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	9192
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	8022
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	4743
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	7671
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	2499
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	1486
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	878
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	1357
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	442
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	322
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	355
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	252
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	2694
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	104
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	266
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	25
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	7
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	5
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	1744
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	1615
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	129
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	1044
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	1044
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	369
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	54
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	314
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	231
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	231
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	41
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	16
