#Classification	N-3-POLJUN-G_bracken_O.kreport
k__Bacteria	2300977
k__Bacteria|p__Proteobacteria	1944638
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1289173
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1226643
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	49054
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	10020
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	578
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	936
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	144
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	489
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	160
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	176
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	87
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	45
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	35
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	47
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	640
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	22
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	16
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	24
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	26
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	23
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	526853
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	367457
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	107175
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	38349
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	8040
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	5496
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	111
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	102
