#Classification	S-14-POLPIL-G_bracken_P.kreport
k__Bacteria	482884
k__Bacteria|p__Proteobacteria	385158
k__Bacteria|p__Actinobacteria	67828
k__Bacteria|p__Cyanobacteria	2339
k__Bacteria|p__Firmicutes	2829
k__Bacteria|p__Deinococcus-Thermus	124
k__Bacteria|p__Chloroflexi	24
k__Bacteria|p__Armatimonadetes	11
k__Bacteria|p__Tenericutes	11
k__Bacteria|p__Acidobacteria	14012
k__Bacteria|p__Bacteroidetes	8589
k__Bacteria|p__Rhodothermaeota	5
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	78
k__Bacteria|p__Planctomycetes	1135
k__Bacteria|p__Verrucomicrobia	370
k__Bacteria|p__Chlamydiae	19
k__Bacteria|p__Kiritimatiellaeota	71
k__Bacteria|p__Spirochaetes	197
k__Bacteria|p__Thermotogae	14
k__Bacteria|p__Nitrospirae	9
k__Bacteria|p__Fusobacteria	39
k__Bacteria|p__Candidatus_Saccharibacteria	5
k__Bacteria|p__Candidatus_Bipolaricaulota	1
k__Bacteria|p__Synergistetes	3
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Elusimicrobia	1
k__Eukaryota	304778
k__Eukaryota|k__Viridiplantae	271358
k__Eukaryota|k__Viridiplantae|p__Streptophyta	271252
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	105
k__Eukaryota|k__Metazoa	31335
k__Eukaryota|k__Metazoa|p__Chordata	31335
k__Eukaryota|k__Fungi	1925
k__Eukaryota|k__Fungi|p__Ascomycota	1724
k__Eukaryota|k__Fungi|p__Basidiomycota	200
k__Eukaryota|p__Apicomplexa	39
k__Eukaryota|p__Bacillariophyta	33
k__Eukaryota|p__Cercozoa	32
k__Eukaryota|p__Euglenozoa	48
k__Eukaryota|p__Evosea	5
k__Archaea	58
k__Archaea|p__Euryarchaeota	50
k__Archaea|p__Thaumarchaeota	7
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Viruses	16
k__Viruses|k__Heunggongvirae	8
k__Viruses|k__Heunggongvirae|p__Uroviricota	8
k__Viruses|k__Bamfordvirae	7
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	7
k__Viruses|k__Shotokuvirae	1
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	1
