#Classification	N-2-POLJUN-G_bracken_P.kreport
k__Bacteria	232687
k__Bacteria|p__Proteobacteria	220849
k__Bacteria|p__Cyanobacteria	5813
k__Bacteria|p__Actinobacteria	2834
k__Bacteria|p__Firmicutes	574
k__Bacteria|p__Acidobacteria	2414
k__Bacteria|p__Bacteroidetes	177
k__Bacteria|p__Planctomycetes	22
k__Eukaryota	1913
k__Eukaryota|k__Viridiplantae	1677
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1677
k__Eukaryota|k__Metazoa	216
k__Eukaryota|k__Metazoa|p__Chordata	216
k__Eukaryota|k__Fungi	19
k__Eukaryota|k__Fungi|p__Basidiomycota	15
k__Eukaryota|k__Fungi|p__Ascomycota	3
