#Classification	S-9-POLCOM-G_bracken_O.kreport
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	120
k__Bacteria|p__Firmicutes|c__Clostridia	546
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	546
k__Bacteria|p__Firmicutes|c__Tissierellia	244
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	244
k__Bacteria|p__Firmicutes|c__Negativicutes	2
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	1
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1
k__Bacteria|p__Cyanobacteria	533
k__Bacteria|p__Cyanobacteria|o__Nostocales	232
k__Bacteria|p__Cyanobacteria|o__Synechococcales	18
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	281
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	1
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	1
k__Bacteria|p__Deinococcus-Thermus	14
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	14
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	12
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	2
k__Bacteria|p__Armatimonadetes	3
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	2
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales	2
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	1
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales	1
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	1
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales	1
k__Bacteria|p__Acidobacteria	15642
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	15641
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	15636
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	5
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	1
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales	1
k__Bacteria|p__Bacteroidetes	5265
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	3907
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	3907
k__Bacteria|p__Bacteroidetes|c__Cytophagia	675
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	675
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	478
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	478
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	93
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	93
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	88
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	88
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis	20
k__Bacteria|p__Chlorobi	2
k__Bacteria|p__Chlorobi|c__Chlorobia	2
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	2
k__Bacteria|p__Gemmatimonadetes	59
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	59
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	59
k__Bacteria|p__Planctomycetes	659
k__Bacteria|p__Planctomycetes|c__Planctomycetia	591
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	330
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	145
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	108
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales	7
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	67
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Tepidisphaerales	26
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales	40
k__Bacteria|p__Verrucomicrobia	130
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	82
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	82
k__Bacteria|p__Verrucomicrobia|c__Opitutae	47
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	20
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	27
k__Bacteria|p__Chlamydiae	18
k__Bacteria|p__Chlamydiae|c__Chlamydiia	18
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	18
k__Bacteria|p__Spirochaetes	254
k__Bacteria|p__Spirochaetes|c__Spirochaetia	254
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales	239
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	15
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	2
k__Bacteria|p__Nitrospirae	1
k__Bacteria|p__Nitrospirae|c__Nitrospira	1
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	1
k__Eukaryota	36139
k__Eukaryota|k__Viridiplantae	31660
