#Classification	GQ2_bracken_P.kreport
k__Bacteria	9007418
k__Bacteria|p__Firmicutes	4160331
k__Bacteria|p__Actinobacteria	1856285
k__Bacteria|p__Tenericutes	63
k__Bacteria|p__Deinococcus-Thermus	3
k__Bacteria|p__Bacteroidetes	1337276
k__Bacteria|p__Proteobacteria	1394928
k__Bacteria|p__Fusobacteria	231294
k__Bacteria|p__Candidatus_Saccharibacteria	25777
k__Bacteria|p__Spirochaetes	1452
k__Bacteria|p__Synergistetes	4
k__Eukaryota	6320
k__Eukaryota|k__Metazoa	6129
k__Eukaryota|k__Metazoa|p__Chordata	6129
k__Eukaryota|k__Fungi	15
k__Eukaryota|k__Fungi|p__Basidiomycota	11
k__Eukaryota|k__Fungi|p__Ascomycota	3
k__Eukaryota|k__Viridiplantae	175
k__Eukaryota|k__Viridiplantae|p__Streptophyta	175
k__Viruses	60
k__Viruses|k__Heunggongvirae	60
k__Viruses|k__Heunggongvirae|p__Uroviricota	39
k__Viruses|k__Heunggongvirae|p__Peploviricota	21
