#Classification	S-6-POLCOM-B_bracken_P.kreport
k__Bacteria	807680
k__Bacteria|p__Proteobacteria	594379
k__Bacteria|p__Actinobacteria	162607
k__Bacteria|p__Cyanobacteria	3470
k__Bacteria|p__Firmicutes	2558
k__Bacteria|p__Chloroflexi	25
k__Bacteria|p__Armatimonadetes	21
k__Bacteria|p__Deinococcus-Thermus	24
k__Bacteria|p__Tenericutes	2
k__Bacteria|p__Acidobacteria	31227
k__Bacteria|p__Bacteroidetes	9617
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	65
k__Bacteria|p__Planctomycetes	2780
k__Bacteria|p__Verrucomicrobia	490
k__Bacteria|p__Chlamydiae	40
k__Bacteria|p__Candidatus_Saccharibacteria	5
k__Bacteria|p__Spirochaetes	357
k__Bacteria|p__Nitrospirae	3
k__Bacteria|p__Synergistetes	1
k__Bacteria|p__Elusimicrobia	1
k__Eukaryota	19862
k__Eukaryota|k__Viridiplantae	11293
k__Eukaryota|k__Viridiplantae|p__Streptophyta	11231
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	61
k__Eukaryota|k__Fungi	4345
k__Eukaryota|k__Fungi|p__Ascomycota	3429
k__Eukaryota|k__Fungi|p__Basidiomycota	916
k__Eukaryota|k__Metazoa	4207
k__Eukaryota|k__Metazoa|p__Chordata	4207
k__Eukaryota|p__Euglenozoa	13
k__Eukaryota|p__Apicomplexa	2
k__Eukaryota|p__Cercozoa	1
k__Archaea	26
k__Archaea|p__Euryarchaeota	26
k__Viruses	14
k__Viruses|k__Heunggongvirae	12
k__Viruses|k__Heunggongvirae|p__Uroviricota	12
k__Viruses|k__Bamfordvirae	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	2
