feature	Acetatifactor	Acidaminococcus	Actinomyces	Acutalibacter	Adlercreutzia	Agathobacter	Agathobaculum	Akkermansia	Alistipes	Amedibacillus	Anaerobutyricum	Anaerofustis	Anaeromassilibacillus	Anaerostipes	Anaerotignum	Anaerotruncus	Angelakisella	Avimonas	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Bittarella	Blautia	Bradyrhizobium	Butyricicoccus	Butyricimonas	Campylobacter	Carnobacterium	Casaltella	Catenibacillus	Catenibacterium	Christensenella	Clostridium	Colidextribacter	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Desulfovibrio	Dialister	Dielma	Diplocloster	Dorea	Dysosmobacter	Eggerthella	Eisenbergiella	Emergencia	Enterocloster	Erysipelatoclostridium	Escherichia	Eubacterium	Evtepia	Faecalibacillus	Faecalibacterium	Faecalicatena	Faecalitalea	Fenollaria	Flavonifractor	Flintibacter	Fusicatenibacter	Fusobacterium	Geddesella	Gemella	Gemmiger	Gordonibacter	Haemophilus	Holdemanella	Holdemania	Hungatella	Hydrogeniiclostidium	Hydrogenoanaerobacterium	Intestinibacillus	Intestinibacter	Intestinimonas	Lachnobacterium	Lachnoclostridium	Lachnospira	Lacrimispora	Lactobacillus	Lactococcus	Lactonifactor	Lawsonibacter	Ligilactobacillus	Limosilactobacillus	Longicatena	Massiliimalia	Massilimicrobiota	Massilistercora	Mediterraneibacter	Megamonas	Megasphaera	Merdibacter	Mogibacterium	Monoglobus	Neglectibacter	Neobittarella	Odoribacter	Oliverpabstia	Olsenella	Oscillibacter	Oxalobacter	Parabacteroides	Paraprevotella	Pararuminococcus	Parasutterella	Peptoniphilus	Phascolarctobacterium	Phocaeicola	Phocea	Porphyromonas	Prevotella	Pseudoflavonifractor	Pseudomonas	Pseudoruminococcus	Pullichristensenella	Pusillimonas..ex.Kitahara.et.al..2021.	Ralstonia	Raoultibacter	Romboutsia	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Ruthenibacterium	Sellimonas	Senegalimassilia	Slackia	Solobacterium	Sphingomonas	Staphylococcus	Streptococcus	Subdoligranulum	Sutterella	Terrisporobacter	Turicibacter	Tyzzerella	Veillonella	Vescimonas	Waltera
NS6	0	0	0	0	0	873	656	59	74107	0	30558	0	0	56103	0	121	0	0	344215	0	0	98	230	179326	0	2896	0	0	21775	0	0	0	0	69690	0	6860	1762	0	16495	0	1558	455	0	25487	1240	3312	0	0	1394	1337	335	27964	0	0	116453	0	0	2514	1869	0	20071	0	0	0	2819	0	0	0	386	32710	0	85	0	301	0	0	5022	15614	1057	0	0	0	0	0	0	0	0	0	0	61824	0	0	0	0	0	4791	533	14199	0	0	536	0	45692	0	0	397	1165	0	327065	0	8586	2995	0	52	0	0	0	0	0	245	44060	0	0	12995	1805	0	0	0	0	0	0	1129	5158	0	0	0	0	53	0	215
NS62	787	0	118	0	5395	435	236	10071	11366	0	22818	144	447	55590	0	219	0	0	11155	0	25771	0	0	298482	0	344	0	0	0	999	0	0	256	34969	0	0	0	660	57282	0	0	0	86	8332	0	497	303	539	637	2893	0	4850	0	8886	28766	90	0	0	197	0	58970	0	0	0	3455	961	0	0	775	568	0	68	0	3041	0	1183	5764	6314	19456	0	274	393	0	0	0	2009	82	0	0	26743	0	0	0	323	0	2476	0	229	734	0	0	0	2268	0	58	52	0	458	3408	0	0	0	0	0	0	0	0	0	138	331	16222	0	1408	118838	1666	0	0	0	0	0	0	2271	37148	0	82	84	0	0	82	131
NS67	408	0	392	0	2554	0	4369	7587	0	0	19236	88	15629	608	0	931	0	0	79277	0	150527	1001	0	82851	0	1582	0	0	0	6002	0	0	0	39353	0	18670	0	0	21605	0	246824	0	0	44063	282	860	6441	0	8985	3695	5112	11595	0	0	57610	0	0	0	3530	0	2093	0	0	0	15481	217	0	0	0	3670	0	0	859	2909	0	585	6180	14685	1401	1172	0	0	0	17058	0	2916	0	184	0	144791	0	0	408	0	0	0	0	0	0	0	558	0	2215	0	862	0	1310	0	7541	1084	58	25769	0	14554	0	666	300	747	2104	786	27586	0	0	176036	23345	976	0	3290	0	0	22102	1961	65592	0	150	1246	7164	98	0	0
NS7	151	0	1180	0	0	0	2125	0	22756	0	20051	0	331	8048	0	0	0	0	12531	0	197361	992	0	235770	0	598	0	0	0	0	0	0	0	75634	0	47367	90	0	12395	0	7678	0	0	24470	705	2364	0	0	0	0	9707	23736	529	0	291136	305	0	0	305	0	23407	0	0	131	6193	126	509	1372	76	0	0	0	0	35598	0	0	62	33127	8747	3835	0	0	302	80375	0	0	0	0	0	61884	3723	15004	0	94	0	1756	0	953	0	0	585	0	4211	0	0	93	0	559	14590	0	0	162006	0	0	0	0	0	0	109	10788	40586	52	0	14735	129	0	0	0	248	0	0	11441	32880	2524	4103	8047	0	2703	0	138
NS70	5427	190	86	0	1646	0	1983	0	363	0	25375	0	0	72441	0	0	0	0	10804	0	67551	0	0	299355	198	5507	0	0	0	0	0	0	0	58742	0	30948	0	0	19132	57	0	0	0	16737	0	1070	54	0	605	338	0	75449	1058	0	156244	108	0	0	561	0	4465	0	0	0	4688	398	0	0	472	0	0	0	0	0	0	4457	366	23667	0	0	492	0	0	0	93	0	81	0	0	40375	0	0	0	1042	0	677	0	0	0	0	448	0	2397	2534	0	0	0	708	24062	0	0	170113	0	0	0	0	0	2167	0	338	16987	59	0	30104	122	0	0	0	0	108	0	22773	3528	259	83	2030	0	136	127	392
NS71	1013	0	433	0	2899	0	0	60008	5522	0	27701	458	1264	152953	0	418	476	481	61899	0	130128	132	171	135203	0	0	0	0	54	0	678	21672	828	64054	3417	23474	11226	1342	6575	0	332	374	0	29750	0	2162	159	103	15138	9665	0	40859	6146	498	7924	152	7213	0	284	0	14353	0	0	0	11496	329	0	0	421	390	84	323	0	5900	0	0	5310	219	237	0	271	0	269	0	0	160	106	0	1713	66860	0	0	316	893	0	1713	0	269	0	0	108879	2981	3182	0	461	0	0	4856	23018	0	0	131	968	0	0	3984	0	0	1575	7152	1270	0	0	90996	26994	255	0	0	1413	0	0	6225	2102	0	974	6286	91274	0	0	79
NS72	0	0	3559	0	342	0	470	1653	19696	0	83137	0	0	14154	0	0	0	0	1646	0	272384	0	0	426221	0	64	0	0	0	0	0	547	0	102406	0	54159	2486	0	15517	0	2451	0	0	16275	0	266	0	0	0	118	116	5687	0	780	7393	1004	0	0	0	0	57265	0	0	252	14045	1158	0	20125	0	0	0	0	0	1174	0	196	952	5803	1775	731	124	0	0	122507	85	108	0	54	0	66953	17093	4791	0	478	65	0	0	0	805	0	325	0	235	0	0	0	0	0	30578	0	0	8859	0	0	0	0	0	114	245	264	15113	204	0	120098	827	0	0	4212	2005	0	118	23911	76473	0	252	289	0	0	0	0
NS77	0	8450	0	214	353	123	4833	0	23332	415	2367	0	0	13211	1422	162	0	0	57107	222	6700	1303	129	29122	0	1837	0	0	0	0	0	0	239	148595	0	9040	4641	0	7500	0	0	0	0	10353	9772	53	172	0	1882	515	47746	9679	836	237	181936	5522	0	0	4030	0	3542	0	0	0	15770	75	0	0	1121	221	0	0	0	0	109	0	3590	21863	151	0	0	0	402	0	0	0	0	0	0	47067	0	0	0	0	0	0	0	3325	556	0	3454	0	30179	0	0	0	0	17769	201732	195	0	233431	0	0	0	0	0	0	0	1619	48094	56	0	2025	4819	0	0	0	0	0	0	3099	5069	4594	0	0	0	149	0	204
NS78	343	0	0	0	55	429	311	0	621	0	4942	0	240	31085	0	0	0	61	3511	0	64311	0	0	113043	63	3060	0	0	0	0	472	17912	0	25396	0	16455	9470	0	53074	0	7869	0	0	14439	0	0	0	0	150	242	0	72053	1505	0	26820	9134	326	0	100	0	15502	0	0	0	5154	0	0	12865	52	0	100	57	0	4012	0	1899	7854	17289	787	0	0	0	0	1005	0	0	0	0	0	53959	0	0	0	475	0	236	0	62	0	1532	111	0	498	0	0	0	0	0	853	0	0	8638	0	0	0	0	0	604	0	1877	48925	0	592	42089	1600	0	721	140	44343	0	0	25282	16372	0	2455	868	0	0	1084	0
NS79	163	0	0	0	0	0	1695	0	40847	0	36596	0	0	26692	0	0	0	0	50214	0	133833	236	0	256130	170	1512	0	0	0	0	0	0	0	66354	0	16219	884	0	20948	0	0	0	0	15005	663	1339	275	0	679	0	0	38143	949	2968	152699	0	0	0	922	0	12423	0	0	0	21195	820	0	0	0	0	0	0	128	155	0	0	1562	26322	2869	0	0	0	0	0	0	0	0	0	0	76552	0	0	0	62	0	0	0	551	0	0	622	0	1187	0	0	1353	0	3545	68598	77	0	0	0	0	0	0	0	1557	104	0	9137	0	0	90265	441	0	0	0	0	77	0	1026	13312	0	0	0	0	0	135	84
NS81	0	0	126	0	0	0	166	313	372	0	68158	0	289	78324	0	0	0	0	3486	0	36426	0	0	179642	302	1226	0	0	0	0	0	0	0	43481	0	0	1788	1507	7393	0	4569	0	0	16799	0	3311	277	0	0	3523	97	9424	0	0	21520	20045	0	0	495	0	22082	0	0	0	14308	884	0	0	441	0	0	0	0	25055	0	0	6016	1349	604	0	3403	71	0	0	79	2765	0	59	61	87615	0	768	0	1279	0	0	0	0	1057	0	0	0	361	0	0	0	0	0	25814	0	0	0	0	0	0	0	0	3167	475	3023	28226	0	0	116238	1403	50	0	0	265	120	0	3334	30651	0	5518	1515	0	0	0	0
NS83	81	2004	347	0	2293	0	1459	4042	5000	0	22080	0	102	17691	865	315	0	0	11683	459	35901	438	90	304371	0	550	0	0	0	0	57	0	384	81469	0	47883	824	0	22946	0	0	0	87	29594	4601	2166	367	0	738	3085	0	16531	0	13692	154491	6415	0	0	87	0	8288	0	67	75	5623	1321	53	72070	536	124	0	0	0	3234	52	892	4859	9512	745	0	128	0	0	8425	0	0	94	0	0	55550	0	0	0	423	0	765	0	1241	0	0	16924	769	3594	0	0	0	0	5641	19744	222	0	24764	332	0	0	0	0	292	414	2506	68893	0	0	91401	1916	0	0	1183	4542	0	0	21606	16515	377	3110	1843	0	0	376	124
NS86	0	0	119	0	97	0	2017	0	2798	0	10022	0	262	245125	0	0	0	0	3592	0	44441	0	196	92620	0	7421	0	0	2357	0	149	0	0	66019	0	6218	1410	0	81388	0	5473	0	0	8919	0	0	356	0	413	468	362	8327	4300	0	237568	263	656	0	0	0	25033	0	0	69	498	149	370	0	804	0	0	126	162	547	63	285	3071	21189	5746	0	189	0	0	6451	0	0	0	0	0	48093	0	4074	0	67	0	187	0	0	0	97	870	0	476	676	56	0	0	0	1509	0	0	11523	0	0	278	0	0	823	0	684	64882	65	0	109204	1925	0	153	100	0	0	0	13780	8258	138	195	0	0	0	0	0
NS9	658	0	0	68	774	0	1248	52	88462	0	24963	121	423	28751	0	651	0	0	153946	0	1510	4045	846	156097	0	3175	0	0	0	0	0	0	0	50715	0	6724	4606	0	23308	0	0	114	0	17800	1373	451	425	122	2925	4944	845	119311	159	0	101552	1801	0	0	967	0	52458	0	535	0	11665	204	0	0	1311	1731	846	0	263	179	207	0	3037	994	0	0	1064	68	1146	0	0	0	0	0	0	59888	0	0	0	486	0	1801	0	14041	0	0	3796	1022	36463	0	68	0	0	6206	60200	376	0	78249	0	0	0	219	0	0	227	499	33912	0	592	69183	2241	133	0	0	0	0	0	3767	13508	0	0	0	0	0	2345	293
