#Classification	W-2-POLJUN-G_bracken_C.kreport
k__Bacteria	21743
k__Bacteria|p__Proteobacteria	17311
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	16073
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	722
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	516
k__Bacteria|p__Actinobacteria	2841
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2841
k__Bacteria|p__Firmicutes	41
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	41
k__Bacteria|p__Acidobacteria	1167
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	1167
k__Bacteria|p__Bacteroidetes	379
k__Bacteria|p__Bacteroidetes|c__Cytophagia	350
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	29
k__Bacteria|p__Planctomycetes	1
k__Bacteria|p__Planctomycetes|c__Planctomycetia	1
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Verrucomicrobia|c__Opitutae	1
k__Eukaryota	2510
k__Eukaryota|k__Viridiplantae	2318
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2318
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	2272
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	46
k__Eukaryota|k__Metazoa	184
k__Eukaryota|k__Metazoa|p__Chordata	184
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	184
k__Eukaryota|k__Fungi	7
k__Eukaryota|k__Fungi|p__Ascomycota	7
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	7
