#Classification	W-2-POLJUN-G_bracken_P.kreport
k__Bacteria	21745
k__Bacteria|p__Proteobacteria	17311
k__Bacteria|p__Actinobacteria	2841
k__Bacteria|p__Firmicutes	41
k__Bacteria|p__Acidobacteria	1169
k__Bacteria|p__Bacteroidetes	379
k__Bacteria|p__Planctomycetes	1
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	2511
k__Eukaryota|k__Viridiplantae	2318
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2318
k__Eukaryota|k__Metazoa	184
k__Eukaryota|k__Metazoa|p__Chordata	184
k__Eukaryota|k__Fungi	8
k__Eukaryota|k__Fungi|p__Basidiomycota	1
k__Eukaryota|k__Fungi|p__Ascomycota	7
