#Classification	GQ27_bracken_P.kreport
k__Bacteria	1559348
k__Bacteria|p__Firmicutes	632416
k__Bacteria|p__Actinobacteria	258721
k__Bacteria|p__Tenericutes	56
k__Bacteria|p__Bacteroidetes	276537
k__Bacteria|p__Proteobacteria	361348
k__Bacteria|p__Fusobacteria	27850
k__Bacteria|p__Candidatus_Saccharibacteria	1275
k__Bacteria|p__Spirochaetes	806
k__Bacteria|p__Synergistetes	333
k__Bacteria|p__Acidobacteria	2
k__Eukaryota	15480
k__Eukaryota|k__Metazoa	8655
k__Eukaryota|k__Metazoa|p__Chordata	8655
k__Eukaryota|k__Fungi	109
k__Eukaryota|k__Fungi|p__Basidiomycota	88
k__Eukaryota|k__Fungi|p__Ascomycota	20
k__Eukaryota|k__Viridiplantae	6715
k__Eukaryota|k__Viridiplantae|p__Streptophyta	6715
k__Viruses	278
k__Viruses|k__Heunggongvirae	277
k__Viruses|k__Heunggongvirae|p__Uroviricota	244
k__Viruses|k__Heunggongvirae|p__Peploviricota	33
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
