#Classification	GQ48_bracken_P.kreport
k__Bacteria	2318422
k__Bacteria|p__Firmicutes	1080296
k__Bacteria|p__Actinobacteria	108289
k__Bacteria|p__Bacteroidetes	696724
k__Bacteria|p__Verrucomicrobia	281889
k__Bacteria|p__Proteobacteria	150684
k__Bacteria|p__Fusobacteria	492
k__Bacteria|p__Spirochaetes	17
k__Bacteria|p__Synergistetes	27
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Archaea	45957
k__Archaea|p__Euryarchaeota	45957
k__Eukaryota	35
k__Eukaryota|k__Viridiplantae	34
k__Eukaryota|k__Viridiplantae|p__Streptophyta	34
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Viruses	445
k__Viruses|k__Heunggongvirae	445
k__Viruses|k__Heunggongvirae|p__Uroviricota	445
