#Classification	S-16-POLJUN-G_bracken_P.kreport
k__Bacteria	157333
k__Bacteria|p__Proteobacteria	114143
k__Bacteria|p__Cyanobacteria	28984
k__Bacteria|p__Actinobacteria	9125
k__Bacteria|p__Firmicutes	229
k__Bacteria|p__Bacteroidetes	3010
k__Bacteria|p__Acidobacteria	1788
k__Bacteria|p__Planctomycetes	45
k__Bacteria|p__Chlamydiae	3
k__Bacteria|p__Verrucomicrobia	3
k__Eukaryota	39974
k__Eukaryota|k__Viridiplantae	38342
k__Eukaryota|k__Viridiplantae|p__Streptophyta	38342
k__Eukaryota|k__Metazoa	1405
k__Eukaryota|k__Metazoa|p__Chordata	1405
k__Eukaryota|k__Fungi	225
k__Eukaryota|k__Fungi|p__Ascomycota	218
k__Eukaryota|k__Fungi|p__Basidiomycota	6
k__Eukaryota|k__Fungi|p__Microsporidia	1
k__Eukaryota|p__Euglenozoa	1
