#Classification	S-10-POLPIL-B_bracken_C.kreport
k__Eukaryota|k__Fungi|p__Basidiomycota	1366
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	936
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	64
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	345
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	21
k__Eukaryota|k__Metazoa	9681
k__Eukaryota|k__Metazoa|p__Chordata	9681
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	9681
k__Eukaryota|k__Viridiplantae	22747
k__Eukaryota|k__Viridiplantae|p__Streptophyta	21801
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	12665
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	9135
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	946
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	815
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae	131
k__Eukaryota|p__Bacillariophyta	32
k__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae	32
k__Eukaryota|p__Apicomplexa	25
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	16
k__Eukaryota|p__Apicomplexa|c__Conoidasida	8
k__Eukaryota|p__Cercozoa	11
k__Eukaryota|p__Cercozoa|c__Chlorarachniophyceae	11
k__Eukaryota|p__Euglenozoa	27
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	27
k__Eukaryota|p__Evosea	6
k__Eukaryota|p__Evosea|c__Eumycetozoa	6
k__Eukaryota|c__Cryptophyceae	17
k__Eukaryota|p__Rhodophyta	2
k__Eukaryota|p__Rhodophyta|c__Bangiophyceae	2
k__Archaea	156
k__Archaea|p__Euryarchaeota	152
k__Archaea|p__Euryarchaeota|c__Halobacteria	142
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	7
k__Archaea|p__Euryarchaeota|c__Thermococci	3
k__Archaea|p__Thaumarchaeota	2
k__Archaea|p__Thaumarchaeota|c__Conexivisphaeria	1
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	1
k__Archaea|p__Crenarchaeota	2
k__Archaea|p__Crenarchaeota|c__Thermoprotei	2
k__Viruses	65
k__Viruses|k__Heunggongvirae	56
k__Viruses|k__Heunggongvirae|p__Uroviricota	56
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	56
k__Viruses|c__Naldaviricetes	5
k__Viruses|k__Bamfordvirae	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Pokkesviricetes	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Megaviricetes	1
k__Viruses|k__Zilligvirae	2
k__Viruses|k__Zilligvirae|p__Taleaviricota	2
k__Viruses|k__Zilligvirae|p__Taleaviricota|c__Tokiviricetes	2
