#Classification	NS62_bracken_P.kreport
k__Bacteria	887670
k__Bacteria|p__Firmicutes	795447
k__Bacteria|p__Actinobacteria	51429
k__Bacteria|p__Bacteroidetes	27682
k__Bacteria|p__Verrucomicrobia	12196
k__Bacteria|p__Proteobacteria	898
k__Bacteria|p__Spirochaetes	1
k__Bacteria|p__Fusobacteria	15
k__Archaea	33694
k__Archaea|p__Euryarchaeota	33694
k__Eukaryota	2
k__Eukaryota|k__Viridiplantae	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2
k__Viruses	1420
k__Viruses|k__Heunggongvirae	1420
k__Viruses|k__Heunggongvirae|p__Uroviricota	1420
