#Classification	GQ37_bracken_P.kreport
k__Bacteria	32765884
k__Bacteria|p__Bacteroidetes	18219299
k__Bacteria|p__Chlorobi	13
k__Bacteria|p__Ignavibacteriae	3
k__Bacteria|p__Firmicutes	12241137
k__Bacteria|p__Actinobacteria	1111871
k__Bacteria|p__Tenericutes	260
k__Bacteria|p__Cyanobacteria	29
k__Bacteria|p__Chloroflexi	17
k__Bacteria|p__Deinococcus-Thermus	10
k__Bacteria|p__Proteobacteria	1189156
k__Bacteria|p__Spirochaetes	1602
k__Bacteria|p__Verrucomicrobia	1481
k__Bacteria|p__Planctomycetes	21
k__Bacteria|p__Kiritimatiellaeota	17
k__Bacteria|p__Candidatus_Saccharibacteria	586
k__Bacteria|p__Candidatus_Absconditabacteria	1
k__Bacteria|p__Fusobacteria	287
k__Bacteria|p__Synergistetes	61
k__Bacteria|p__Aquificae	7
k__Bacteria|p__Acidobacteria	7
k__Bacteria|p__Thermotogae	6
k__Bacteria|p__Deferribacteres	4
k__Bacteria|p__Caldiserica	1
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Elusimicrobia	1
k__Archaea	479148
k__Archaea|p__Euryarchaeota	479146
k__Archaea|p__Thaumarchaeota	1
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Eukaryota	27567
k__Eukaryota|k__Viridiplantae	26066
k__Eukaryota|k__Viridiplantae|p__Streptophyta	25757
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	309
k__Eukaryota|k__Metazoa	762
k__Eukaryota|k__Metazoa|p__Chordata	762
k__Eukaryota|k__Fungi	725
k__Eukaryota|k__Fungi|p__Ascomycota	725
k__Eukaryota|p__Apicomplexa	10
k__Eukaryota|p__Bacillariophyta	1
k__Eukaryota|p__Euglenozoa	2
k__Viruses	898042
k__Viruses|k__Heunggongvirae	897528
k__Viruses|k__Heunggongvirae|p__Uroviricota	897528
k__Viruses|k__Shotokuvirae	308
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	308
k__Viruses|k__Sangervirae	206
k__Viruses|k__Sangervirae|p__Phixviricota	206
