#Classification	GQ3_bracken_P.kreport
k__Bacteria	7843336
k__Bacteria|p__Firmicutes	4798209
k__Bacteria|p__Actinobacteria	1528787
k__Bacteria|p__Tenericutes	18
k__Bacteria|p__Proteobacteria	771483
k__Bacteria|p__Bacteroidetes	654655
k__Bacteria|p__Fusobacteria	65067
k__Bacteria|p__Candidatus_Saccharibacteria	22621
k__Bacteria|p__Spirochaetes	2172
k__Bacteria|p__Synergistetes	281
k__Bacteria|p__Verrucomicrobia	39
k__Eukaryota	6923
k__Eukaryota|k__Metazoa	4766
k__Eukaryota|k__Metazoa|p__Chordata	4766
k__Eukaryota|k__Fungi	464
k__Eukaryota|k__Fungi|p__Basidiomycota	464
k__Eukaryota|k__Viridiplantae	1691
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1690
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|p__Apicomplexa	1
k__Viruses	1121
k__Viruses|k__Heunggongvirae	1113
k__Viruses|k__Heunggongvirae|p__Uroviricota	1102
k__Viruses|k__Heunggongvirae|p__Peploviricota	11
k__Viruses|k__Shotokuvirae	8
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	8
