#Classification	SRR20002438_bracken_P.kreport
k__Bacteria	78771
k__Bacteria|p__Proteobacteria	69040
k__Bacteria|p__Actinobacteria	6881
k__Bacteria|p__Firmicutes	2709
k__Bacteria|p__Deinococcus-Thermus	32
k__Bacteria|p__Bacteroidetes	106
k__Bacteria|p__Verrucomicrobia	2
k__Eukaryota	3690
k__Eukaryota|k__Metazoa	3022
k__Eukaryota|k__Metazoa|p__Chordata	3022
k__Eukaryota|k__Fungi	238
k__Eukaryota|k__Fungi|p__Basidiomycota	231
k__Eukaryota|k__Fungi|p__Ascomycota	7
k__Eukaryota|p__Apicomplexa	271
k__Eukaryota|k__Viridiplantae	158
k__Eukaryota|k__Viridiplantae|p__Streptophyta	158
k__Viruses	4
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
