#Classification	S-3-POLPIL-B_bracken_P.kreport
k__Bacteria	18983
k__Bacteria|p__Proteobacteria	12736
k__Bacteria|p__Acidobacteria	2680
k__Bacteria|p__Actinobacteria	2250
k__Bacteria|p__Cyanobacteria	357
k__Bacteria|p__Chloroflexi	5
k__Bacteria|p__Bacteroidetes	787
k__Bacteria|p__Planctomycetes	165
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	268
k__Eukaryota|k__Metazoa	186
k__Eukaryota|k__Metazoa|p__Chordata	186
k__Eukaryota|k__Fungi	17
k__Eukaryota|k__Fungi|p__Ascomycota	17
k__Eukaryota|k__Viridiplantae	64
k__Eukaryota|k__Viridiplantae|p__Streptophyta	64
