#Classification	W-3-POLJUN-G_bracken_P.kreport
k__Bacteria	730531
k__Bacteria|p__Proteobacteria	545725
k__Bacteria|p__Actinobacteria	172642
k__Bacteria|p__Cyanobacteria	63
k__Bacteria|p__Firmicutes	102
k__Bacteria|p__Deinococcus-Thermus	25
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Bacteroidetes	6027
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Acidobacteria	5874
k__Bacteria|p__Planctomycetes	51
k__Bacteria|p__Verrucomicrobia	13
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Nitrospirae	1
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	33267
k__Eukaryota|k__Viridiplantae	31829
k__Eukaryota|k__Viridiplantae|p__Streptophyta	31829
k__Eukaryota|k__Metazoa	1335
k__Eukaryota|k__Metazoa|p__Chordata	1335
k__Eukaryota|k__Fungi	101
k__Eukaryota|k__Fungi|p__Ascomycota	40
k__Eukaryota|k__Fungi|p__Basidiomycota	61
