#Classification	NS40_bracken_P.kreport
k__Bacteria	4119405
k__Bacteria|p__Firmicutes	3420102
k__Bacteria|p__Actinobacteria	334817
k__Bacteria|p__Bacteroidetes	336212
k__Bacteria|p__Proteobacteria	27854
k__Bacteria|p__Spirochaetes	209
k__Bacteria|p__Candidatus_Saccharibacteria	66
k__Bacteria|p__Verrucomicrobia	58
k__Bacteria|p__Fusobacteria	84
k__Eukaryota	471
k__Eukaryota|k__Fungi	464
k__Eukaryota|k__Fungi|p__Ascomycota	464
k__Eukaryota|k__Viridiplantae	7
k__Eukaryota|k__Viridiplantae|p__Streptophyta	7
k__Viruses	88720
k__Viruses|k__Heunggongvirae	88720
k__Viruses|k__Heunggongvirae|p__Uroviricota	88720
