name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Caballeronia sp001557535	126764	S	60	1311	1371	0.30851
Caballeronia sp018449635	126769	S	33	367	400	0.09001
Caballeronia sp022878925	126770	S	17	548	565	0.12714
Caballeronia sp001424345	126763	S	2	17	19	0.00428
Caballeronia sordidicola_A	126761	S	1	9	10	0.00225
Paraburkholderia sp900104795	128085	S	1	45	46	0.01035
Pararobbsia sp026225235	128132	S	1	2	3	0.00068
Luteibacter sp018449605	140544	S	1	64	65	0.01463
Bog-1198 sp030776345	139669	S	2	127	129	0.02903
UBA5158 sp903970525	132093	S	1	5	6	0.00135
Methylobacterium sp017833295	118314	S	15	488	503	0.11319
Methylobacterium sp022829385	118327	S	9	124	133	0.02993
Methylobacterium sp022829365	118326	S	9	154	163	0.03668
Methylobacterium sp022829515	118331	S	8	150	158	0.03555
Methylobacterium sp008039875	118308	S	7	126	133	0.02993
Methylobacterium sp001455965	118303	S	2	29	31	0.00698
Methylobacterium sp022829585	118333	S	1	15	16	0.00360
Methylobacterium sp022829635	118335	S	1	19	20	0.00450
Lichenihabitans flavocetrariae	118233	S	10	23	33	0.00743
Tardiphaga sp028290785	120842	S	4	33	37	0.00833
Methyloceanibacter sp002383105	118939	S	1	44	45	0.01013
Acidisoma sp009765865	113615	S	35	130	165	0.03713
Lichenicoccus roseus	113922	S	15	100	115	0.02588
Sphingomonas sp030580995	125259	S	1	41	42	0.00945
Sphingomonas_N sp937859915	125357	S	2	13	15	0.00338
Mycobacterium hodleri	46478	S	2	37	39	0.00878
Mycobacterium sp016462545	46709	S	1	6	7	0.00158
Terriglobus roseus_B	40382	S	10	18	28	0.00630
Terriglobus roseus	40380	S	1	1	2	0.00045
Granulicella_D aggregans	40205	S	1	2	3	0.00068
Granulicella_D sp903642265	40207	S	1	0	1	0.00023
Granulicella_B arctica	40194	S	2	6	8	0.00180
EB88 sp003858395	40122	S	1	2	3	0.00068
JALYIM01 sp030775785	40496	S	1	0	1	0.00023
Mucilaginibacter sp028288305	89950	S	1	4	5	0.00113
Pedobacter paludis	90060	S	1	58	59	0.01328
Spirosoma pollinicola	85555	S	1	31	32	0.00720
Stigonema sp903903925	96940	S	1	0	1	0.00023
JADMIH01 sp015478675	94837	S	1	14	15	0.00338
