#Classification	S-24-POLJUN-G_bracken_O.kreport
k__Bacteria	332887
k__Bacteria|p__Proteobacteria	269362
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	228659
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	174181
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	49529
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	3639
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1124
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	161
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	17
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	4
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	33569
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	33319
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	91
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	35
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	123
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	6705
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2551
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	3035
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	824
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	48
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	200
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	15
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	28
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	395
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	372
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	22
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	31
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	31
k__Bacteria|p__Actinobacteria	40768
