#Classification	S-19-POLJUN-B_bracken_O.kreport
k__Bacteria	1994179
k__Bacteria|p__Actinobacteria	478901
k__Bacteria|p__Actinobacteria|c__Actinomycetia	454150
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	83096
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	88861
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	92092
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	56388
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	50695
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	33578
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	7070
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	5771
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	4756
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	3638
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	5940
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	3184
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	1271
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1792
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	13733
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	833
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	1183
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	136
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	67
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	26
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	29
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	14319
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	13605
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	714
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	8038
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	8038
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1466
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	1466
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	816
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	697
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	119
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	108
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egicoccales	60
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	34
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales	13
k__Bacteria|p__Cyanobacteria	337397
k__Bacteria|p__Cyanobacteria|o__Nostocales	333513
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	1505
k__Bacteria|p__Cyanobacteria|o__Chroococcales	348
k__Bacteria|p__Cyanobacteria|o__Synechococcales	411
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	1091
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	120
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	57
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	35
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	35
