#Classification	S-8-DICUND-G_bracken_O.kreport
k__Bacteria	1119509
k__Bacteria|p__Proteobacteria	646944
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	323242
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	123522
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	95077
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	61648
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	32817
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	8110
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	1228
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	400
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	257
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	16
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	58
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	91
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	3
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	202316
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	190518
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	6875
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2658
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2264
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	112682
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	24707
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	25029
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	28713
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2080
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	4678
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1977
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	406
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	412
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	416
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	4516
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	273
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	3833
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	91
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	298
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	147
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	48
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	14851
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	113
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	52
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	29
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	7996
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	6315
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	630
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	650
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	100
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	38
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	30
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	207
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	22
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	158
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	144
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	13
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	331
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	331
k__Bacteria|p__Proteobacteria|c__Oligoflexia	148
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	130
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	10
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	7
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	66
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	66
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales	1
k__Bacteria|p__Cyanobacteria	193323
k__Bacteria|p__Cyanobacteria|o__Nostocales	191359
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	116
k__Bacteria|p__Cyanobacteria|o__Chroococcales	64
k__Bacteria|p__Cyanobacteria|o__Synechococcales	292
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	1456
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	22
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	22
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	4
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales	3
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	2
k__Bacteria|p__Cyanobacteria|o__Thermostichales	1
k__Bacteria|p__Actinobacteria	191491
k__Bacteria|p__Actinobacteria|c__Actinomycetia	169218
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	33740
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	50309
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	26139
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	13927
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	9990
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	13138
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	7682
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	2797
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	2179
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	1584
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	985
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	704
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	847
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	662
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	606
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	79
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	3421
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	44
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	320
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	15
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	39
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	15184
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	14625
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	559
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	5442
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	5442
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1034
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	1034
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	522
