#Classification	S-13-POLPIL-B_bracken_P.kreport
k__Bacteria	438057
k__Bacteria|p__Proteobacteria	349298
k__Bacteria|p__Actinobacteria	70928
k__Bacteria|p__Cyanobacteria	194
k__Bacteria|p__Firmicutes	1194
k__Bacteria|p__Deinococcus-Thermus	12
k__Bacteria|p__Armatimonadetes	11
k__Bacteria|p__Bacteroidetes	9137
k__Bacteria|p__Gemmatimonadetes	115
k__Bacteria|p__Acidobacteria	5869
k__Bacteria|p__Planctomycetes	1137
k__Bacteria|p__Verrucomicrobia	132
k__Bacteria|p__Chlamydiae	14
k__Bacteria|p__Candidatus_Saccharibacteria	10
k__Eukaryota	21573
k__Eukaryota|k__Viridiplantae	17028
k__Eukaryota|k__Viridiplantae|p__Streptophyta	17023
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	4
k__Eukaryota|k__Metazoa	2670
k__Eukaryota|k__Metazoa|p__Chordata	2670
k__Eukaryota|k__Fungi	1869
k__Eukaryota|k__Fungi|p__Basidiomycota	1266
k__Eukaryota|k__Fungi|p__Ascomycota	603
k__Eukaryota|p__Cercozoa	3
k__Eukaryota|p__Euglenozoa	2
k__Archaea	3
k__Archaea|p__Euryarchaeota	2
k__Archaea|p__Thaumarchaeota	1
