#Classification	S-2-POLJUN-B_bracken_C.kreport
k__Bacteria	3225
k__Bacteria|p__Proteobacteria	3077
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2046
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	645
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	386
k__Bacteria|p__Actinobacteria	111
k__Bacteria|p__Actinobacteria|c__Actinomycetia	111
k__Bacteria|p__Bacteroidetes	29
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	26
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1
k__Bacteria|p__Acidobacteria	7
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	7
k__Eukaryota	1
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1
