feature	Akkermansiaceae	Bacteroidaceae	Bifidobacteriaceae	Clostridiaceae	Coriobacteriaceae	Eggerthellaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes.unclassified	Lachnospiraceae	Lactobacillaceae	Peptostreptococcaceae	Prevotellaceae	Rikenellaceae	Ruminococcaceae	Streptococcaceae	Tannerellaceae	Veillonellaceae
NS11	0	0.582941338653408	0.174969045665689	0	0.174969045665689	0	0	0	0	0.174969045665689	0	0	0.800551998380542	0	0.248740049959281	0	0.174969045665689	0
NS13	0	0.344856576985306	0	0	0	0	0.344856576985306	0.169846288083674	0	0.915430399754645	0	0	0	0	0.344856576985306	0	0	0
NS21	0	0.540419500270584	0	0	0	0	0	0	0	0.666637578006725	0	0	0	0	0.63613206280501	0	0	0
NS25	0	0.800551998380542	0	0.248740049959281	0	0	0.174969045665689	0.174969045665689	0	0.355602582980533	0	0	0	0.174969045665689	0.478632959524503	0	0	0
NS27	0	0.531808096947568	0.498480437137433	0	0	0	0.241382961662867	0.169846288083674	0	0.426887174546417	0	0	0	0	0.426887174546417	0.297122516347102	0	0
NS28	0.355602582980533	0.248740049959281	0.174969045665689	0	0	0	0	0.248740049959281	0	0.248740049959281	0	0	0.615479708670387	0	0.478632959524503	0.174969045665689	0	0.306277369169669
NS29	0	0.169846288083674	0.625546089066075	0	0	0.169846288083674	0.169846288083674	0	0	0.625546089066075	0	0	0	0	0.498480437137433	0	0	0
NS30	0	0	0.244978663126864	0	0.172350589899323	0	0	0.172350589899323	0	1.17723219146683	0	0	0	0	0.172350589899323	0	0	0
NS32	0.169846288083674	0.169846288083674	0.169846288083674	0	0.241382961662867	0	0	0.463647609000806	0	0.498480437137433	0	0	0.426887174546417	0	0.498480437137433	0	0	0.169846288083674
NS34	0.248740049959281	0.86144863424084	0	0	0.248740049959281	0.174969045665689	0.174969045665689	0.248740049959281	0.174969045665689	0.355602582980533	0	0.174969045665689	0	0	0	0	0	0
NS36	0.66350469416328	0.627620288848268	0	0	0.186779461081594	0	0	0.186779461081594	0	0.186779461081594	0	0	0	0	0.380506377112365	0	0.186779461081594	0
NS38	0.344856576985306	0.531808096947568	0.625546089066075	0	0	0	0.169846288083674	0.241382961662867	0	0.241382961662867	0	0	0	0	0.344856576985306	0	0.169846288083674	0
NS39	0	0.387596686655181	0.463647609000806	0	0.169846288083674	0	0	0.169846288083674	0	0.463647609000806	0	0	0.241382961662867	0.169846288083674	0.595124567552538	0	0	0
NS4	0	0.426887174546417	0.169846288083674	0	0	0	0	0.498480437137433	0	0.531808096947568	0	0	0	0	0.595124567552538	0	0	0
NS40	0	0.180585214190698	0.413273808494454	0	0.256813917420807	0	0.180585214190698	0	0	0.569030896263964	0	0	0.413273808494454	0	0.455533356978361	0	0.180585214190698	0.180585214190698
NS41	0	0.172350589899323	0.172350589899323	0	0.172350589899323	0	0	0	0	0.470960700649922	0	0	0.755969410423908	0.244978663126864	0.433537909355837	0	0	0
NS46	0	0.241382961662867	0.169846288083674	0	0	0.169846288083674	0.241382961662867	0.387596686655181	0	0.713724378944766	0	0	0	0	0.531808096947568	0	0	0
NS51	0	0.172350589899323	0.433537909355837	0.172350589899323	0.172350589899323	0	0	0	0	0.814826916370989	0.172350589899323	0	0	0	0.393564135328064	0.172350589899323	0	0
NS55	0	0.344856576985306	0.297122516347102	0	0	0	0.169846288083674	0.297122516347102	0	0.655365927040252	0	0	0	0	0.563942641360629	0	0	0.169846288083674
NS58	0	0	0	0	0.169846288083674	0	0	0	0	1.32941336513203	0	0	0	0	0.169846288083674	0	0	0
NS6	0	0.785398163397448	0	0	0	0.172350589899323	0	0.433537909355837	0	0.393564135328064	0	0	0	0	0.393564135328064	0	0	0
NS62	0.169846288083674	0	0.241382961662867	0	0	0	0	0.169846288083674	0	0.915430399754645	0	0	0	0	0.531808096947568	0	0	0
NS67	0	0.169846288083674	0.426887174546417	0	0.169846288083674	0.169846288083674	0	0.169846288083674	0	0.563942641360629	0.169846288083674	0.169846288083674	0	0	0.625546089066075	0	0	0.169846288083674
NS7	0	0	0.531808096947568	0	0.241382961662867	0	0.169846288083674	0	0.169846288083674	0.344856576985306	0.387596686655181	0.241382961662867	0	0	0.563942641360629	0	0	0.169846288083674
NS70	0	0.169846288083674	0.344856576985306	0	0.169846288083674	0	0	0.531808096947568	0	0.655365927040252	0	0	0.387596686655181	0	0.241382961662867	0	0	0
NS71	0.244978663126864	0.244978663126864	0.470960700649922	0.172350589899323	0.301595702804835	0	0.172350589899323	0.301595702804835	0	0.540419500270584	0	0.172350589899323	0	0	0.393564135328064	0	0	0
NS72	0	0	0.7424883681445	0	0.169846288083674	0	0	0.344856576985306	0	0.531808096947568	0.344856576985306	0	0.169846288083674	0	0	0	0	0
NS77	0	0.350105777767146	0.172350589899323	0.172350589899323	0	0	0	0	0.172350589899323	0.350105777767146	0	0	0.605041803215686	0	0.540419500270584	0.172350589899323	0.244978663126864	0
NS78	0	0	0.498480437137433	0	0	0	0.297122516347102	0.241382961662867	0	0.771110504762802	0	0	0	0	0.387596686655181	0	0	0
NS79	0	0.344856576985306	0.426887174546417	0	0.169846288083674	0	0	0.297122516347102	0	0.463647609000806	0	0	0	0.169846288083674	0.655365927040252	0	0	0
NS81	0	0	0.297122516347102	0	0	0	0	0.387596686655181	0	0.799685822032095	0	0.241382961662867	0	0	0.463647609000806	0	0	0
NS83	0	0.174969045665689	0.248740049959281	0	0.248740049959281	0	0.306277369169669	0.248740049959281	0	0.678525634291574	0.174969045665689	0	0.174969045665689	0	0.478632959524503	0.174969045665689	0	0
NS86	0	0	0.241382961662867	0	0.169846288083674	0	0.169846288083674	0	0	0.655365927040252	0.169846288083674	0	0	0	0.713724378944766	0.241382961662867	0	0
NS9	0	0.301595702804835	0	0	0.244978663126864	0	0	0.573203309100855	0.172350589899323	0.540419500270584	0	0	0	0.172350589899323	0.470960700649922	0	0.172350589899323	0
