#Classification	SRR5091464_bracken_P.kreport
k__Bacteria	13931434
k__Bacteria|p__Bacteroidetes	10697628
k__Bacteria|p__Firmicutes	2981645
k__Bacteria|p__Actinobacteria	89990
k__Bacteria|p__Proteobacteria	155325
k__Bacteria|p__Verrucomicrobia	6796
k__Bacteria|p__Candidatus_Saccharibacteria	20
k__Bacteria|p__Spirochaetes	14
k__Bacteria|p__Fusobacteria	12
k__Eukaryota	235
k__Eukaryota|k__Viridiplantae	235
k__Eukaryota|k__Viridiplantae|p__Streptophyta	235
k__Viruses	27078
k__Viruses|k__Heunggongvirae	27078
k__Viruses|k__Heunggongvirae|p__Uroviricota	27078
