name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Methylobacterium sp022829385	118327	S	40	473	513	0.11580
Methylobacterium sp022829365	118326	S	20	278	298	0.06727
Methylobacterium sp017833295	118314	S	4	119	123	0.02777
Methylobacterium sp008039875	118308	S	3	51	54	0.01219
Methylobacterium sp022829585	118333	S	2	24	26	0.00587
Methylobacterium sp022829545	118332	S	1	10	11	0.00248
Methylobacterium sp022829635	118335	S	1	16	17	0.00384
Lichenihabitans flavocetrariae	118233	S	18	30	48	0.01084
RH-AL1 sp901457705	118497	S	1	26	27	0.00609
Lichenicoccus roseus	113922	S	139	703	842	0.19007
Acidisoma sp009765865	113615	S	74	219	293	0.06614
LMUY01 sp009765685	113921	S	2	64	66	0.01490
CAHJXG01 sp937858325	113708	S	1	2	3	0.00068
Sphingomonas_N sp937859915	125357	S	4	26	30	0.00677
Sphingomonas_N sp029906645	125355	S	1	18	19	0.00429
Polymorphobacter_B sp903642255	124676	S	1	6	7	0.00158
Reyranella aerosaccus_B	117836	S	1	33	34	0.00767
Caballeronia sp001557535	126764	S	32	839	871	0.19661
Caballeronia sp022878925	126770	S	3	133	136	0.03070
Caballeronia sordidicola_C	126762	S	1	9	10	0.00226
Caballeronia sp018449635	126769	S	1	13	14	0.00316
Paraburkholderia ginsengisoli	127996	S	1	20	21	0.00474
Silvimonas sp030035605	129774	S	2	12	14	0.00316
Bog-1198 sp030799355	139670	S	1	11	12	0.00271
Bog-1198 sp030776345	139669	S	1	55	56	0.01264
Acidisarcina polymorpha	40108	S	291	291	582	0.13138
Granulicella_D aggregans_A	40206	S	7	15	22	0.00497
Granulicella_D sp903642265	40207	S	1	0	1	0.00023
Terriglobus roseus_B	40382	S	3	5	8	0.00181
Terriglobus roseus	40380	S	1	1	2	0.00045
Terriglobus sp937859825	40389	S	1	2	3	0.00068
Granulicella_B arctica	40194	S	2	3	5	0.00113
Silvibacterium bohemicum	40370	S	1	5	6	0.00135
Granulicella sp019351975	40174	S	1	0	1	0.00023
Bog-105 sp019243205	39844	S	1	102	103	0.02325
Komarekiella sp014904695	96817	S	1	37	38	0.00858
Mycobacterium madagascariense	46516	S	3	45	48	0.01084
Mycobacterium sp016462545	46709	S	1	3	4	0.00090
Mucilaginibacter sp014200495	89913	S	1	5	6	0.00135
Mucilaginibacter sp013286325	89903	S	1	0	1	0.00023
Gemmata tundricola	112182	S	6	14	20	0.00451
JACDAE01 sp013695595	95986	S	4	4	8	0.00181
Capsulimonas corticalis	52990	S	2	2	4	0.00090
