#Classification	S-12-POLPIL-B_bracken_P.kreport
k__Bacteria	183048
k__Bacteria|p__Proteobacteria	141656
k__Bacteria|p__Actinobacteria	23611
k__Bacteria|p__Cyanobacteria	7316
k__Bacteria|p__Chloroflexi	14
k__Bacteria|p__Firmicutes	1332
k__Bacteria|p__Armatimonadetes	9
k__Bacteria|p__Acidobacteria	6136
k__Bacteria|p__Bacteroidetes	2309
k__Bacteria|p__Planctomycetes	640
k__Bacteria|p__Chlamydiae	10
k__Bacteria|p__Verrucomicrobia	10
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	45709
k__Eukaryota|k__Viridiplantae	43203
k__Eukaryota|k__Viridiplantae|p__Streptophyta	43194
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	8
k__Eukaryota|k__Metazoa	1934
k__Eukaryota|k__Metazoa|p__Chordata	1934
k__Eukaryota|k__Fungi	570
k__Eukaryota|k__Fungi|p__Ascomycota	544
k__Eukaryota|k__Fungi|p__Basidiomycota	26
k__Eukaryota|p__Cercozoa	1
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
