feature	Acidovorax	Acinetobacter	Actinomyces	Agrobacterium	Alcaligenes	Anoxybacillus	Aquabacterium	Azospirillum	Bacillus	Brevundimonas	Burkholderia	Clostridioides	Corynebacterium	Cupriavidus	Cutibacterium	Dermacoccus	Effusibacillus	Enhydrobacter	Escherichia	Haemophilus	Halomonas	Herbaspirillum	Hydrogenophilus	Klebsiella	Kocuria	Lactobacillus	Lawsonella	Limosilactobacillus	Meiothermus	Microbacterium	Micrococcus	Moraxella	Mycobacteroides	Mycolicibacterium	Neisseria	Paraburkholderia	Paracoccus	Phocaeicola	Prevotella	Propionibacterium	Pseudomonas	Rothia	Salmonella	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus	Streptomyces	Tepidimonas	Thermoflavifilum
SRR20002401	3303	13843	0	1379	0	0	31574	495	1204	0	5378	28733	3360	2119	64009	1740	0	0	17392	0	593	5274	0	0	0	406	579	0	257	0	1275	0	0	1379	35176	27228	0	4445	0	0	413137	0	0	438	13429	698	450866	595	0	0
SRR20002402	0	446	0	0	0	0	3003	0	0	0	3286	0	0	0	1946	0	0	0	0	0	0	456	0	0	0	0	290	0	0	0	0	0	0	0	0	1759	0	0	0	0	36427	0	0	0	0	0	0	0	0	0
SRR20002403	0	128	0	0	0	0	728	0	0	0	256	453	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	250	0	0	0	0	7303	0	0	0	0	0	0	0	0	0
SRR20002406	213	877	334	0	0	740	3487	1406	0	0	1449	14199	332	266	21028	0	375	0	0	0	0	530	395	0	130	0	248	0	7456	0	456	0	0	365	0	2586	0	0	0	0	119058	0	0	0	244	260	0	1528	123	518
SRR20002410	222	2250	0	270	606	0	6478	0	0	713	232	2571	126909	421	2294	2318	0	0	0	0	0	949	0	0	0	0	192	0	0	0	573	314	0	469	0	4981	0	0	328	0	78521	0	0	0	192	0	784	236	0	0
SRR20002412	827	2251	4092	403	0	0	8680	0	0	0	2433	10998	24813	852	11126	260	0	0	1443	399	272	1720	316	0	0	717	1067	0	0	0	0	0	0	293	2554	8430	0	0	3471	413	113108	3617	411	0	25787	0	144031	1310	474	0
SRR20002416	0	3415	0	0	893	0	2564	0	0	0	0	896	0	0	1221	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	225	0	1881	0	0	0	0	29381	0	0	0	0	560	0	157	0	0
SRR20002417	0	556	0	0	0	0	1662	0	0	0	662	0	0	0	782	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	1214	0	0	0	0	19909	0	0	0	0	0	0	0	0	0
SRR20002419	1556	3977	0	732	885	0	12951	0	522	0	10096	6857	319	675	43234	753	0	408	1772	0	304	2367	0	0	155	0	825	463	0	0	0	0	0	519	0	11711	0	0	0	2876	169721	0	1182	571	902	0	438	885	0	0
SRR20002420	551	1848	0	0	0	0	8425	0	0	0	917	933	0	423	7113	0	0	0	0	0	0	919	0	0	0	597	645	0	229	0	317	0	0	696	0	5407	0	0	0	0	103435	0	0	0	0	0	0	0	0	0
SRR20002421	0	988	0	0	1151	0	3816	0	0	336	0	3627	0	0	4187	0	0	0	0	0	0	678	0	0	0	0	0	0	0	0	0	0	0	0	0	3015	0	0	0	0	45667	0	0	0	63926	0	391	0	0	0
SRR20002422	2228	8517	1158	1008	0	0	21234	0	333	269	1172	46798	1522	1480	287073	590	0	0	197	1156	387	3726	0	0	0	0	5025	593	366	464	0	0	1362	918	0	21182	0	0	0	0	278878	676	471	0	642271	0	13605	71334	0	0
SRR20002425	2738	15446	0	1002	705	0	30155	5179	0	0	5187	111085	1787	1704	15684	545	0	0	0	0	829	5386	0	322	0	0	0	0	586	0	3722	32798	566	1151	0	26370	4101	588	0	0	418704	0	0	590	3503	0	4179	1656	0	0
SRR20002427	856	3834	0	454	0	0	10477	1116	0	0	2690	56169	82904	631	6163	3011	0	0	0	0	206	1868	0	0	0	1745	0	401	0	0	226	0	0	1138	0	9333	0	0	1825837	0	138006	967	0	0	305	0	9290	0	0	0
SRR20002430	1034	4879	0	558	0	0	11335	0	0	0	2574	35369	2753	638	32220	7028	0	0	0	5317	0	2517	0	0	0	0	1639	0	362	639	1019	1742	799	992	24735	7603	0	652	0	1310	422292	5741	0	0	7196	0	13259	2822	0	0
