feature	Acidovorax	Acinetobacter	Actinomyces	Agrobacterium	Alcaligenes	Anoxybacillus	Aquabacterium	Azospirillum	Bacillus	Brevundimonas	Burkholderia	Clostridioides	Corynebacterium	Cupriavidus	Cutibacterium	Dermacoccus	Effusibacillus	Enhydrobacter	Escherichia	Haemophilus	Halomonas	Herbaspirillum	Hydrogenophilus	Klebsiella	Kocuria	Lactobacillus	Lawsonella	Limosilactobacillus	Meiothermus	Microbacterium	Micrococcus	Moraxella	Mycobacteroides	Mycolicibacterium	Neisseria	Paraburkholderia	Paracoccus	Phocaeicola	Prevotella	Propionibacterium	Pseudomonas	Rothia	Salmonella	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus	Streptomyces	Tepidimonas	Thermoflavifilum
SRR20002340	0.00501744345576418	0.0276482040427005	0	0.00297910705185998	0.00927704388956398	0	0.0557406608913802	0.00979969424953941	0	0	0.0101786157605216	0.0203310990030444	0.00456012439078567	0.00399827525381208	0.0469209360667947	0	0	0	0.0105706035305032	0	0	0.00964289914154678	0	0	0	0	0	0	0	0	0.00356708870683235	0.0033318960448434	0	0.0075000326656475	0	0.0347301164203677	0.00262631805887656	0	0	0	0.723792351011982	0	0	0	0	0	0.00347562489383665	0.00431186546979734	0	0
SRR20002343	0.00454115978173755	0.019462844939942	0	0.00159011007863491	0	0.0139819582679323	0.0394902941831674	0.00272443981266916	0	0	0.00543991765227032	0.0595049406077242	0.00540150919626465	0.00226353834060107	0.0451785865176077	0.000832183213456275	0.0044323358230548	0.00172838052025534	0	0	0.00092820435347046	0.00631050932173227	0.00298561731350774	0	0	0	0	0	0.0889270981899375	0.000789933911850033	0.000764328274512917	0	0	0.00190505941788144	0	0.0283019109487145	0	0	0	0.00102422549348465	0.508083699707328	0	0	0	0.129906360184258	0	0.0034503596311764	0.0106250592130363	0.000818100112920861	0.00860733499087159
SRR20002345	0.00316658995184289	0.0148896048939108	0	0.00135018089850381	0.109332976980604	0.00456923389112434	0.0316817374175316	0.0107509638846407	0	0.00117992348314996	0.00617480091265894	0.0475859577227081	0.00159962780937109	0.00210347097457522	0.208937524437383	0	0.00317054942661856	0.00239251263319921	0	0	0.00112350096759665	0.00547991308952867	0.0017619662751736	0	0.000553336599900023	0	0.0176285715699812	0	0.0523670235143308	0.00140066420189362	0.00263602033190297	0.0058382455567269	0	0.00191341618534301	0	0.0255069365048726	0	0	0	0	0.41952318025014	0	0	0	0.00355461847985865	0	0.00208070399461511	0.00579073185941885	0.00103243304775622	0.00292308225313912
SRR20002351	0.00350016482770657	0.0163101863522659	0.010287188039326	0.00169481665341581	0.0153852120459966	0	0.0403110395780411	0	0.00176850433399911	0	0.00807074017335997	0.0214838371890089	0.0134809672477651	0.00252477263472241	0.160788458182241	0.00119257693575598	0	0	0.00381818534390816	0.00184025286509337	0.000954061548604782	0.00776823285307064	0	0.000517752913572107	0	0.000888130465977622	0.00808043592080514	0.00161531152436541	0	0	0.000884252166999554	0	0	0.00369795807558805	0.0156489363765053	0.0374585506796719	0.00081638193488336	0	0	0.00126820376582831	0.490540828792492	0.0131978514223662	0.00548197560549943	0.00447943531966879	0.0106575655917315	0	0.070722721014563	0.0228645116252012	0	0
SRR20002352	0.000392938582822766	0.00341051561034202	0	0.000337943121940877	0	0	0.0085553808276259	0	0	0	0.00184991977836032	0.0230662121437948	0	0.000510899861236091	0.0121834871745006	0.000244689949141154	0	0	0.000294106160368358	0	0	0.00161240315020376	0	0	0	0	0.000813773413918953	0	0	0	0.000396126725482585	0	0	0.000255051412785568	0	0.00781812283754261	0	0	0	0	0.102048461362501	0	0.000349101621250246	0	0.824548539073478	0	0.00935799574223548	0.00195433145046941	0	0
SRR20002353	0.00540275920295999	0.0266767887106101	0	0.00263220441798839	0.00928011692379733	0	0.0671424973305474	0.00173824820055837	0	0	0	0.0106175038046351	0	0.00406891976742949	0.0387771246536807	0.00205397083290468	0	0	0	0	0.00112808760770931	0.0119336060136293	0	0	0.00159280294296063	0	0	0	0.000489547452402153	0	0.00123451096692717	0	0	0.00188724090346337	0	0.0516437087831198	0	0	0	0	0.755116302994399	0	0	0	0	0.00658405849027823	0	0	0	0
SRR20002355	0.00321773644616921	0.00986536778550781	0	0.00239562246404356	0.00554263942787939	0	0.0527567338207084	0	0	0	0.0087603758740486	0.0754576876497264	0	0.00342989489316938	0.0906004968043634	0	0	0	0	0	0	0.00912281322100722	0	0	0.00182102667008477	0	0.00168842764070967	0	0	0	0.00294369845212733	0	0	0.00152046887016787	0	0.0432361235115759	0	0	0	0	0.687640886468711	0	0	0	0	0	0	0	0	0
SRR20002356	0	0.00063261872948599	0.00383826520625356	0	0	0.00110353670748901	0.00243685869340119	0	0	0	0.000442549425111276	0.0150353330326267	0.00073190866460711	0	0.0106353704791165	0	0	0	0.0017588502792884	0	0	0.000499286530894773	0	0.00450776305449883	0	0	0	0	0.0125530846545987	0	0	0	0	0	0	0.00242551127224449	0	0	0	0	0.929739605053007	0	0	0	0	0	0.0115800432904117	0.00103261532525964	0	0.00104679960170552
SRR20002360	0.00373982408975578	0.0102813682467528	0.0012592000302208	0.00115846402780314	0.00131586403158074	0	0.0381411689153881	0.00422461610139079	0	0	0	0.183868388412841	0.00270098406482362	0.00226026405424634	0.0659631935831166	0	0	0	0	0	0	0.00598749614369991	0	0	0.00148585603566054	0	0.00108291202598989	0	0	0	0.00652895215669485	0	0	0.00423091210154189	0	0.0356794328563064	0	0	0	0	0.620495998891904	0	0	0	0.00149844803596275	0	0	0.00809665619431975	0	0
SRR20002363	0.000443014994770526	0.0018930875209766	0	0.00028856940026337	0.000235281154205346	0	0.00751454588479262	0	0	0	0.00210488571929197	0.020253146264494	0	0.000639007357390719	0.00327948510909639	0	0	0	0	0	0	0.00148349057881873	0	0	0	0	0.000225346057482663	0	9.34802282543313e-05	0	0	0.000177476955091556	0	0.00151916660795928	0	0.00608705312386537	0	0	0	0	0.0878063848350684	0	0	0	0.847246984698145	0	0.0187095935100335	0	0	0
