#Classification	NS28_bracken_P.kreport
k__Bacteria	1302738
k__Bacteria|p__Firmicutes	800030
k__Bacteria|p__Actinobacteria	10111
k__Bacteria|p__Bacteroidetes	359026
k__Bacteria|p__Verrucomicrobia	115740
k__Bacteria|p__Proteobacteria	17807
k__Bacteria|p__Fusobacteria	14
k__Bacteria|p__Spirochaetes	7
k__Archaea	106
k__Archaea|p__Euryarchaeota	106
k__Eukaryota	36
k__Eukaryota|k__Viridiplantae	36
k__Eukaryota|k__Viridiplantae|p__Streptophyta	36
k__Viruses	323
k__Viruses|k__Heunggongvirae	323
k__Viruses|k__Heunggongvirae|p__Uroviricota	323
