#Classification	GQ48_bracken_P.kreport
k__Bacteria	23456556
k__Bacteria|p__Firmicutes	10196300
k__Bacteria|p__Actinobacteria	1903417
k__Bacteria|p__Tenericutes	11764
k__Bacteria|p__Cyanobacteria	793
k__Bacteria|p__Chloroflexi	455
k__Bacteria|p__Deinococcus-Thermus	343
k__Bacteria|p__Armatimonadetes	14
k__Bacteria|p__Bacteroidetes	8708818
k__Bacteria|p__Chlorobi	113
k__Bacteria|p__Ignavibacteriae	32
k__Bacteria|p__Balneolaeota	6
k__Bacteria|p__Rhodothermaeota	10
k__Bacteria|p__Gemmatimonadetes	48
k__Bacteria|p__Fibrobacteres	24
k__Bacteria|p__Candidatus_Cloacimonetes	1
k__Bacteria|p__Verrucomicrobia	2159032
k__Bacteria|p__Planctomycetes	423
k__Bacteria|p__Kiritimatiellaeota	354
k__Bacteria|p__Chlamydiae	31
k__Bacteria|p__Candidatus_Omnitrophica	16
k__Bacteria|p__Proteobacteria	463782
k__Bacteria|p__Fusobacteria	5956
k__Bacteria|p__Spirochaetes	3574
k__Bacteria|p__Synergistetes	566
k__Bacteria|p__Thermotogae	246
k__Bacteria|p__Aquificae	107
k__Bacteria|p__Acidobacteria	89
k__Bacteria|p__Candidatus_Saccharibacteria	74
k__Bacteria|p__Candidatus_Absconditabacteria	9
k__Bacteria|p__Deferribacteres	44
k__Bacteria|p__Nitrospirae	33
k__Bacteria|p__Atribacterota	18
k__Bacteria|p__Dictyoglomi	14
k__Bacteria|p__Thermodesulfobacteria	10
k__Bacteria|p__Elusimicrobia	8
k__Bacteria|p__Chrysiogenetes	8
k__Bacteria|p__Caldiserica	5
k__Bacteria|p__Calditrichaeota	5
k__Archaea	951571
k__Archaea|p__Euryarchaeota	951504
k__Archaea|p__Thaumarchaeota	28
k__Archaea|p__Crenarchaeota	21
k__Archaea|p__Candidatus_Thermoplasmatota	8
k__Archaea|p__Candidatus_Lokiarchaeota	6
k__Archaea|p__Candidatus_Micrarchaeota	3
k__Eukaryota	87184
k__Eukaryota|k__Viridiplantae	60888
k__Eukaryota|k__Viridiplantae|p__Streptophyta	60285
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	603
k__Eukaryota|k__Metazoa	24218
k__Eukaryota|k__Metazoa|p__Chordata	24218
k__Eukaryota|k__Fungi	374
k__Eukaryota|k__Fungi|p__Ascomycota	342
k__Eukaryota|k__Fungi|p__Basidiomycota	29
k__Eukaryota|k__Fungi|p__Microsporidia	2
k__Eukaryota|p__Evosea	1513
k__Eukaryota|p__Apicomplexa	178
k__Eukaryota|p__Bacillariophyta	4
k__Eukaryota|p__Euglenozoa	7
k__Viruses	57050
k__Viruses|k__Heunggongvirae	56969
k__Viruses|k__Heunggongvirae|p__Uroviricota	56969
k__Viruses|k__Shotokuvirae	66
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	66
k__Viruses|k__Bamfordvirae	13
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	13
k__Viruses|k__Orthornavirae	2
k__Viruses|k__Orthornavirae|p__Pisuviricota	1
k__Viruses|k__Orthornavirae|p__Negarnaviricota	1
