#Classification	N-2-TORTOR-G_bracken_C.kreport
k__Bacteria	168774
k__Bacteria|p__Proteobacteria	118232
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	57333
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	51635
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	597
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	8661
k__Bacteria|p__Proteobacteria|c__Oligoflexia	4
k__Bacteria|p__Actinobacteria	24220
k__Bacteria|p__Actinobacteria|c__Actinomycetia	23606
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	114
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	500
k__Bacteria|p__Firmicutes	17501
k__Bacteria|p__Firmicutes|c__Bacilli	17501
k__Bacteria|p__Armatimonadetes	27
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	26
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	1
k__Bacteria|p__Chloroflexi	4
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	4
k__Bacteria|p__Acidobacteria	4356
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	4356
k__Bacteria|p__Planctomycetes	3483
k__Bacteria|p__Planctomycetes|c__Planctomycetia	3480
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	3
k__Bacteria|p__Verrucomicrobia	176
k__Bacteria|p__Verrucomicrobia|c__Opitutae	119
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	56
k__Bacteria|p__Chlamydiae	12
k__Bacteria|p__Chlamydiae|c__Chlamydiia	12
k__Bacteria|p__Bacteroidetes	759
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	712
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	30
k__Bacteria|p__Bacteroidetes|c__Cytophagia	15
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1
k__Eukaryota	31909
k__Eukaryota|k__Viridiplantae	30094
k__Eukaryota|k__Viridiplantae|p__Streptophyta	30094
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	28922
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1171
k__Eukaryota|k__Metazoa	1738
k__Eukaryota|k__Metazoa|p__Chordata	1738
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	1738
k__Eukaryota|k__Fungi	75
k__Eukaryota|k__Fungi|p__Ascomycota	67
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	19
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	43
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	2
k__Eukaryota|k__Fungi|p__Basidiomycota	7
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	7
