feature	Acidaminococcaceae	Akkermansiaceae	Bacteroidaceae	Bifidobacteriaceae	Clostridia.unclassified	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.unclassified	FGB1354	FGB4806	FGB76783	Firmicutes.unclassified	Lachnospiraceae	Lactobacillaceae	Oscillospiraceae	Peptostreptococcaceae	Prevotellaceae	Rikenellaceae	Ruminococcaceae	Streptococcaceae	Tannerellaceae	Veillonellaceae
NS10	0	0	0	6	1	1	0	11	0	0	0	4	0	0	2	0	0	26	0	3	0	0	0	0	0	0	10
NS11	4	0	12	1	0	3	0	1	1	0	1	0	0	2	0	0	0	7	0	4	0	20	1	0	0	3	5
NS13	0	0	3	0	0	1	0	0	0	0	7	1	6	0	0	0	0	39	0	5	0	0	1	1	0	0	0
NS21	0	0	15	1	0	5	0	0	0	0	0	0	1	0	0	0	0	19	0	22	0	0	0	0	0	0	2
NS25	3	0	21	0	4	10	0	0	0	0	0	0	2	0	0	0	0	9	0	10	1	0	2	2	0	1	0
NS27	0	1	3	13	0	0	0	5	0	1	0	6	0	0	0	0	0	22	0	11	0	0	1	0	0	0	1
NS28	0	2	4	1	0	3	0	4	0	0	0	2	0	0	0	0	0	4	1	5	0	28	0	0	0	0	1
NS29	0	0	2	9	0	2	0	1	0	0	3	0	1	0	0	0	0	13	0	23	3	0	7	0	0	0	1
NS30	0	0	0	1	0	2	0	3	0	0	0	2	2	0	0	0	0	46	0	7	2	0	0	0	0	0	0
NS32	0	0	1	0	0	1	0	0	0	0	0	0	0	3	9	2	1	14	5	12	0	7	0	0	0	0	5
NS34	1	0	22	4	0	4	1	4	0	0	0	0	1	0	0	0	0	10	0	3	0	1	2	0	0	3	0
NS36	2	15	8	2	0	1	0	0	0	0	0	0	4	0	0	1	0	3	0	12	0	0	10	4	0	2	0
NS38	0	7	8	12	1	1	1	3	0	1	0	0	0	3	0	0	0	6	2	9	0	0	1	1	0	2	1
NS39	1	1	3	3	0	0	0	2	0	7	1	1	2	0	0	0	0	4	5	17	0	0	6	3	1	1	3
NS4	0	0	8	3	0	1	0	0	1	0	0	0	0	0	0	0	0	28	0	19	0	0	1	0	0	0	0
NS40	0	0	1	6	0	1	0	1	0	0	0	0	1	18	0	0	0	13	0	12	0	0	4	5	0	0	0
NS41	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	2	3	15	0	13	0	19	5	0	0	0	0
NS46	0	0	1	5	0	2	0	2	0	0	0	0	0	1	4	1	0	20	0	3	0	0	4	13	0	1	1
NS51	0	0	0	12	0	4	0	1	0	1	0	0	2	0	0	0	0	25	0	14	3	0	0	1	0	0	0
NS55	0	0	0	0	0	1	0	0	0	0	5	1	0	0	0	0	0	48	0	7	0	0	0	3	0	0	0
NS58	0	0	0	3	0	0	0	4	0	0	2	0	6	0	0	0	0	46	0	0	3	0	0	0	0	0	0
NS6	0	0	12	0	0	6	0	5	2	2	1	3	0	0	0	1	1	24	0	5	0	0	3	0	0	0	0
NS62	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	38	0	18	0	0	0	3	0	0	0
NS67	0	1	0	4	1	2	0	4	0	1	0	0	1	5	0	0	0	8	2	17	0	0	0	1	0	0	13
NS7	0	0	0	6	0	1	0	4	2	0	0	0	1	0	1	1	0	25	2	12	1	3	1	1	1	0	3
NS70	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	0	0	35	0	12	0	5	0	0	2	0	0
NS71	0	4	2	4	0	7	1	4	0	1	0	0	3	0	3	0	0	21	0	8	2	0	0	0	0	0	0
NS72	0	0	0	19	0	2	0	0	0	0	0	0	2	4	0	0	0	16	13	2	0	0	0	3	1	0	1
NS77	2	0	8	1	0	3	0	1	1	0	0	0	1	0	0	0	0	11	0	17	0	15	2	0	0	1	0
NS78	0	0	4	3	0	1	0	3	0	2	3	6	1	0	0	0	0	26	5	8	1	0	1	0	1	0	0
NS79	0	0	3	6	0	1	0	0	0	0	2	0	3	0	2	0	1	32	0	13	0	0	0	1	0	0	0
NS81	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	42	0	4	2	0	0	11	0	0	1
NS83	0	0	0	0	0	5	0	5	0	0	10	0	0	3	0	1	0	24	0	7	1	1	0	1	2	0	0
NS86	0	0	0	4	0	2	5	1	0	0	0	0	1	0	0	0	0	27	1	18	0	1	0	2	1	0	1
NS9	0	0	11	0	0	2	0	3	0	0	0	0	1	0	7	0	0	20	0	9	0	3	5	2	0	0	0
