#Classification	SRR5091609_bracken_C.kreport
k__Bacteria	6807834
k__Bacteria|p__Firmicutes	3871257
k__Bacteria|p__Firmicutes|c__Clostridia	3835575
k__Bacteria|p__Firmicutes|c__Negativicutes	31281
k__Bacteria|p__Firmicutes|c__Bacilli	2299
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2092
k__Bacteria|p__Firmicutes|c__Tissierellia	8
k__Bacteria|p__Actinobacteria	432587
k__Bacteria|p__Actinobacteria|c__Actinomycetia	400753
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	31834
k__Bacteria|p__Bacteroidetes	2101831
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2101831
k__Bacteria|p__Proteobacteria	401774
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	400142
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1224
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	385
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	17
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	4
k__Bacteria|p__Fusobacteria	349
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	349
k__Bacteria|p__Verrucomicrobia	13
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	13
k__Bacteria|p__Candidatus_Saccharibacteria	12
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	12
k__Bacteria|p__Synergistetes	8
k__Bacteria|p__Synergistetes|c__Synergistia	8
k__Bacteria|p__Spirochaetes	1
k__Bacteria|p__Spirochaetes|c__Spirochaetia	1
k__Eukaryota	1283
k__Eukaryota|k__Viridiplantae	661
k__Eukaryota|k__Viridiplantae|p__Streptophyta	661
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	661
k__Eukaryota|k__Fungi	621
k__Eukaryota|k__Fungi|p__Ascomycota	621
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	621
k__Viruses	803
k__Viruses|k__Heunggongvirae	803
k__Viruses|k__Heunggongvirae|p__Uroviricota	803
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	803
