#Classification	S-8-POLJUN-B_bracken_P.kreport
k__Bacteria	34774
k__Bacteria|p__Proteobacteria	30369
k__Bacteria|p__Actinobacteria	2599
k__Bacteria|p__Cyanobacteria	695
k__Bacteria|p__Bacteroidetes	733
k__Bacteria|p__Acidobacteria	334
k__Bacteria|p__Planctomycetes	40
k__Bacteria|p__Verrucomicrobia	2
k__Eukaryota	345
k__Eukaryota|k__Metazoa	192
k__Eukaryota|k__Metazoa|p__Chordata	192
k__Eukaryota|k__Fungi	92
k__Eukaryota|k__Fungi|p__Ascomycota	90
k__Eukaryota|k__Fungi|p__Basidiomycota	1
k__Eukaryota|k__Viridiplantae	58
k__Eukaryota|k__Viridiplantae|p__Streptophyta	58
k__Eukaryota|p__Euglenozoa	2
