#Classification	S-19-POLPIL-G_bracken_G.kreport
k__Eukaryota	191
k__Eukaryota|k__Fungi	191
k__Eukaryota|k__Fungi|p__Basidiomycota	191
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	191
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales	191
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales|f__Ustilaginaceae	191
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales|f__Ustilaginaceae|g__Ustilago	191
k__Bacteria	82
k__Bacteria|p__Proteobacteria	60
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	41
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	41
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	41
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium	41
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	19
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	19
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	19
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia	19
k__Bacteria|p__Cyanobacteria	22
k__Bacteria|p__Cyanobacteria|o__Nostocales	22
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	22
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Nostoc	22
