#Classification	W-3-POLJUN-G_bracken_P.kreport
k__Bacteria	104095
k__Bacteria|p__Proteobacteria	77059
k__Bacteria|p__Actinobacteria	26298
k__Bacteria|p__Cyanobacteria	7
k__Bacteria|p__Firmicutes	5
k__Bacteria|p__Deinococcus-Thermus	1
k__Bacteria|p__Acidobacteria	491
k__Bacteria|p__Bacteroidetes	231
k__Bacteria|p__Planctomycetes	1
k__Eukaryota	1182
k__Eukaryota|k__Viridiplantae	1118
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1118
k__Eukaryota|k__Metazoa	64
k__Eukaryota|k__Metazoa|p__Chordata	64
