#Classification	GQ9_bracken_P.kreport
k__Bacteria	599350
k__Bacteria|p__Firmicutes	187099
k__Bacteria|p__Actinobacteria	193221
k__Bacteria|p__Bacteroidetes	116014
k__Bacteria|p__Proteobacteria	97737
k__Bacteria|p__Candidatus_Saccharibacteria	2288
k__Bacteria|p__Fusobacteria	2805
k__Bacteria|p__Spirochaetes	181
k__Bacteria|p__Synergistetes	2
k__Eukaryota	3350
k__Eukaryota|k__Metazoa	3345
k__Eukaryota|k__Metazoa|p__Chordata	3345
k__Eukaryota|k__Viridiplantae	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5
