feature	Actinomycetaceae	Alcaligenaceae	Alicyclobacillaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Comamonadaceae	Corynebacteriaceae	Dermacoccaceae	Enterobacteriaceae	Halomonadaceae	Hydrogenophilaceae	Lactobacillaceae	Lawsonellaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	Neisseriaceae	Oxalobacteraceae	Pasteurellaceae	Peptostreptococcaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Streptomycetaceae	Thermaceae	Xanthomonadaceae
SRR20002375	0	0	461	412	726	0	7950	0	539	599	432	0	146	201	0	0	0	0	561	2034	236	0	1014	0	5302	0	6479	89280	332	0	0	302	892	698	7180	0
SRR20002377	0	0	0	0	0	0	501	0	0	0	0	0	0	0	0	0	0	0	206	124	0	0	0	0	1455	0	2080	9488	0	0	0	27932	0	0	0	0
SRR20002378	0	207	0	354	0	0	2976	0	0	170	0	0	0	0	0	0	0	0	0	499	0	0	419	0	5531	0	1214	42104	128	0	0	0	0	209	0	0
SRR20002379	0	4315	0	859	0	0	38107	0	0	4106	0	0	0	704	0	0	0	0	1003	12363	3382	0	5402	0	4705	0	7570	398142	1544	0	606	361	2487	805	0	1467
SRR20002380	0	0	0	295	1638	0	1698	0	0	0	0	0	0	0	277	0	0	0	0	477	0	0	329	0	40294	0	824	24910	0	0	0	1269483	0	0	0	489
SRR20002382	1113	0	3668	971	11182	0	37526	0	7135	2398	1239	0	0	807	2298	0	0	0	3836	11605	2803	820	3678	409	49763	0	7666	289707	593	0	0	1888	2757	22764	72193	0
SRR20002384	0	0	414	418	1144	0	4238	0	769	295	230279	0	119	0	0	0	0	0	204	1168	471	0	590	0	6576	0	4125	53713	192	0	0	398	0	728	9213	195
SRR20002386	0	0	0	0	0	0	901	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	140	0	0	0	1142	12359	0	0	0	0	0	0	0	0
SRR20002388	0	0	652	3644	939	484	10793	0	351	1000	204	0	0	209	0	0	0	200	1247	3358	432	0	1526	0	25817	0	5173	118939	286	0	293	203	2911	473	8574	0
SRR20002391	0	8330	0	12567	0	882	75322	0	0	4046	3287	0	0	1271	0	0	5847	0	4023	25298	2071	0	11141	0	39848	0	236707	767135	1828	2620	1595	978	3327	0	355	0
SRR20002394	0	0	0	0	0	0	1147	0	0	0	594069	0	0	0	0	1388	0	0	0	0	0	0	0	0	5933	0	0	5926	0	0	0	8797	633	0	289	0
SRR20002396	406	0	962	587	1678	0	20336	0	1112	1692	799	0	116753	314	569	271	0	504	1051	7209	978	2856	2681	0	12255	0	9832	223289	695	0	1354	1551	7213	712	15376	490
SRR20002397	1568	8548	0	0	0	0	23795	0	0	2535	1418	419	0	450	0	0	0	0	4112	7062	3601	0	3636	0	2977	0	13020	245390	1299	0	0	2330	10667	0	206	0
SRR20002401	0	3087	0	495	1204	4445	39011	0	0	3762	3360	1740	17392	593	0	406	579	0	1275	14437	1379	35176	5274	0	28733	0	64009	413137	1379	0	5486	13429	450866	595	257	1957
SRR20002402	0	0	0	0	0	0	5483	0	0	177	0	0	0	0	0	0	290	0	0	446	0	0	456	0	0	0	1946	36427	0	0	0	0	0	0	0	0
SRR20002403	0	0	0	0	0	0	506	0	0	0	0	0	0	0	0	0	0	0	0	128	112	0	0	0	453	0	130	7303	0	0	0	0	0	0	0	0
SRR20002406	334	0	375	1406	740	0	4830	0	518	380	332	0	0	0	395	0	248	0	586	877	365	0	530	0	14199	0	21028	119058	0	0	0	244	0	1528	7456	260
SRR20002410	0	606	0	0	0	0	6539	713	0	222	126909	2318	0	0	0	0	192	0	573	2564	469	0	949	0	2571	328	2294	78521	270	0	0	192	784	236	0	0
SRR20002412	7351	0	0	0	0	0	12990	0	0	827	24813	260	1854	272	316	717	1067	0	3617	2251	577	2554	1720	399	10998	3471	11539	113108	403	0	0	25787	144603	1310	0	170
SRR20002416	0	893	0	0	0	0	2180	0	0	171	0	0	0	0	0	0	0	0	0	3415	225	0	418	0	896	0	1221	29381	0	0	0	0	0	157	0	560
SRR20002417	0	0	0	0	0	0	2076	0	0	0	0	0	0	0	0	0	0	0	0	556	0	0	192	0	0	0	782	19909	0	0	0	0	0	0	0	0
