#Classification	S-9-DICUND-B_bracken_P.kreport
k__Bacteria	570933
k__Bacteria|p__Actinobacteria	207072
k__Bacteria|p__Cyanobacteria	1581
k__Bacteria|p__Firmicutes	1122
k__Bacteria|p__Chloroflexi	108
k__Bacteria|p__Armatimonadetes	79
k__Bacteria|p__Deinococcus-Thermus	14
k__Bacteria|p__Tenericutes	11
k__Bacteria|p__Proteobacteria	342110
k__Bacteria|p__Acidobacteria	11673
k__Bacteria|p__Planctomycetes	3849
k__Bacteria|p__Verrucomicrobia	1199
k__Bacteria|p__Chlamydiae	92
k__Bacteria|p__Bacteroidetes	1412
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	41
k__Bacteria|p__Candidatus_Saccharibacteria	29
k__Bacteria|p__Candidatus_Bipolaricaulota	7
k__Bacteria|p__Spirochaetes	520
k__Bacteria|p__Dictyoglomi	2
k__Bacteria|p__Synergistetes	1
k__Bacteria|p__Elusimicrobia	1
k__Bacteria|p__Nitrospirae	1
k__Eukaryota	23733
k__Eukaryota|k__Viridiplantae	18336
k__Eukaryota|k__Viridiplantae|p__Streptophyta	18323
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	12
k__Eukaryota|k__Metazoa	3836
k__Eukaryota|k__Metazoa|p__Chordata	3836
k__Eukaryota|k__Fungi	1551
k__Eukaryota|k__Fungi|p__Ascomycota	1505
k__Eukaryota|k__Fungi|p__Basidiomycota	46
k__Eukaryota|p__Euglenozoa	6
k__Eukaryota|p__Bacillariophyta	2
k__Eukaryota|p__Apicomplexa	1
k__Archaea	16
k__Archaea|p__Euryarchaeota	14
k__Archaea|p__Crenarchaeota	2
