#Classification	S-23-POLPIL-B_bracken_P.kreport
k__Bacteria	33992
k__Bacteria|p__Proteobacteria	23145
k__Bacteria|p__Cyanobacteria	5287
k__Bacteria|p__Actinobacteria	3509
k__Bacteria|p__Acidobacteria	1744
k__Bacteria|p__Bacteroidetes	175
k__Bacteria|p__Planctomycetes	127
k__Bacteria|p__Verrucomicrobia	2
k__Eukaryota	263
k__Eukaryota|k__Viridiplantae	142
k__Eukaryota|k__Viridiplantae|p__Streptophyta	142
k__Eukaryota|k__Metazoa	116
k__Eukaryota|k__Metazoa|p__Chordata	116
k__Eukaryota|k__Fungi	4
k__Eukaryota|k__Fungi|p__Ascomycota	3
k__Eukaryota|k__Fungi|p__Basidiomycota	1
