#Classification	SRR5091509_bracken_O.kreport
k__Bacteria	13227958
k__Bacteria|p__Bacteroidetes	11093251
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	11093121
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	11093121
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	103
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	103
k__Bacteria|p__Bacteroidetes|c__Cytophagia	23
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	23
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	3
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	3
k__Bacteria|p__Firmicutes	2100424
k__Bacteria|p__Firmicutes|c__Clostridia	2038948
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2038948
k__Bacteria|p__Firmicutes|c__Negativicutes	51344
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	50701
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	587
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	55
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	8270
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	8270
k__Bacteria|p__Firmicutes|c__Bacilli	1861
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1859
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2
k__Bacteria|p__Actinobacteria	10691
k__Bacteria|p__Actinobacteria|c__Actinomycetia	10650
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	10526
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	89
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	14
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	9
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	10
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	41
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	28
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	12
k__Bacteria|p__Proteobacteria	23457
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	13710
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	10972
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	1367
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	391
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	977
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	2
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	9127
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	9020
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	106
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	560
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	560
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	57
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	49
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1
k__Bacteria|p__Verrucomicrobia	95
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	95
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	95
k__Bacteria|p__Fusobacteria	36
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	36
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	36
k__Eukaryota	840
k__Eukaryota|k__Viridiplantae	838
k__Eukaryota|k__Viridiplantae|p__Streptophyta	838
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	838
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales	628
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	200
k__Eukaryota|k__Fungi	2
k__Eukaryota|k__Fungi|p__Ascomycota	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2
k__Viruses	1408
k__Viruses|k__Heunggongvirae	1408
k__Viruses|k__Heunggongvirae|p__Uroviricota	1408
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	1408
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	1408
