#Classification	SRR5091572_bracken_P.kreport
k__Bacteria	8183695
k__Bacteria|p__Bacteroidetes	5251014
k__Bacteria|p__Firmicutes	2817067
k__Bacteria|p__Actinobacteria	50728
k__Bacteria|p__Proteobacteria	58030
k__Bacteria|p__Fusobacteria	6311
k__Bacteria|p__Verrucomicrobia	525
k__Bacteria|p__Candidatus_Saccharibacteria	4
k__Bacteria|p__Spirochaetes	8
k__Bacteria|p__Synergistetes	4
k__Eukaryota	711
k__Eukaryota|k__Viridiplantae	591
k__Eukaryota|k__Viridiplantae|p__Streptophyta	591
k__Eukaryota|k__Metazoa	112
k__Eukaryota|k__Metazoa|p__Chordata	112
k__Eukaryota|k__Fungi	7
k__Eukaryota|k__Fungi|p__Ascomycota	7
k__Archaea	3
k__Archaea|p__Euryarchaeota	3
k__Viruses	480
k__Viruses|k__Heunggongvirae	480
k__Viruses|k__Heunggongvirae|p__Uroviricota	480
