#Classification	S-4-POLCOM-B_bracken_P.kreport
k__Bacteria	2265307
k__Bacteria|p__Proteobacteria	1538734
k__Bacteria|p__Actinobacteria	393711
k__Bacteria|p__Cyanobacteria	31739
k__Bacteria|p__Firmicutes	13949
k__Bacteria|p__Deinococcus-Thermus	370
k__Bacteria|p__Chloroflexi	281
k__Bacteria|p__Armatimonadetes	132
k__Bacteria|p__Tenericutes	106
k__Bacteria|p__Acidobacteria	170734
k__Bacteria|p__Bacteroidetes	97616
k__Bacteria|p__Chlorobi	52
k__Bacteria|p__Rhodothermaeota	118
k__Bacteria|p__Balneolaeota	5
k__Bacteria|p__Ignavibacteriae	2
k__Bacteria|p__Gemmatimonadetes	230
k__Bacteria|p__Fibrobacteres	8
k__Bacteria|p__Candidatus_Cloacimonetes	1
k__Bacteria|p__Planctomycetes	10652
k__Bacteria|p__Verrucomicrobia	5203
k__Bacteria|p__Chlamydiae	199
k__Bacteria|p__Kiritimatiellaeota	592
k__Bacteria|p__Candidatus_Omnitrophica	6
k__Bacteria|p__Candidatus_Saccharibacteria	87
k__Bacteria|p__Candidatus_Bipolaricaulota	1
k__Bacteria|p__Spirochaetes	315
k__Bacteria|p__Nitrospirae	239
k__Bacteria|p__Fusobacteria	63
k__Bacteria|p__Deferribacteres	9
k__Bacteria|p__Calditrichaeota	8
k__Bacteria|p__Thermotogae	7
k__Bacteria|p__Synergistetes	17
k__Bacteria|p__Chrysiogenetes	81
k__Bacteria|p__Aquificae	2
k__Bacteria|p__Atribacterota	22
k__Bacteria|p__Elusimicrobia	1
k__Bacteria|p__Thermodesulfobacteria	1
k__Eukaryota	33168
k__Eukaryota|k__Fungi	10227
k__Eukaryota|k__Fungi|p__Ascomycota	8484
k__Eukaryota|k__Fungi|p__Basidiomycota	1743
k__Eukaryota|k__Metazoa	9729
k__Eukaryota|k__Metazoa|p__Chordata	9729
k__Eukaryota|k__Viridiplantae	13053
k__Eukaryota|k__Viridiplantae|p__Streptophyta	12661
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	391
k__Eukaryota|p__Apicomplexa	51
k__Eukaryota|p__Bacillariophyta	17
k__Eukaryota|p__Cercozoa	5
k__Eukaryota|p__Euglenozoa	47
k__Eukaryota|p__Evosea	34
k__Eukaryota|p__Rhodophyta	1
k__Archaea	234
k__Archaea|p__Euryarchaeota	226
k__Archaea|p__Crenarchaeota	4
k__Archaea|p__Thaumarchaeota	3
k__Viruses	81
k__Viruses|k__Heunggongvirae	75
k__Viruses|k__Heunggongvirae|p__Uroviricota	75
k__Viruses|k__Bamfordvirae	6
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	6
