#Classification	S-6-POLPIL-B_bracken_P.kreport
k__Bacteria	65750
k__Bacteria|p__Proteobacteria	46838
k__Bacteria|p__Acidobacteria	14088
k__Bacteria|p__Actinobacteria	3224
k__Bacteria|p__Firmicutes	840
k__Bacteria|p__Cyanobacteria	4
k__Bacteria|p__Bacteroidetes	597
k__Bacteria|p__Planctomycetes	149
k__Bacteria|p__Verrucomicrobia	7
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	472
k__Eukaryota|k__Metazoa	213
k__Eukaryota|k__Metazoa|p__Chordata	213
k__Eukaryota|k__Fungi	187
k__Eukaryota|k__Fungi|p__Ascomycota	175
k__Eukaryota|k__Fungi|p__Basidiomycota	11
k__Eukaryota|k__Viridiplantae	71
k__Eukaryota|k__Viridiplantae|p__Streptophyta	71
