#Classification	S-3-POLCOM-G_bracken_P.kreport
k__Bacteria	297371
k__Bacteria|p__Proteobacteria	224813
k__Bacteria|p__Actinobacteria	59149
k__Bacteria|p__Cyanobacteria	276
k__Bacteria|p__Firmicutes	2406
k__Bacteria|p__Deinococcus-Thermus	4
k__Bacteria|p__Armatimonadetes	3
k__Bacteria|p__Tenericutes	2
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	8203
k__Bacteria|p__Bacteroidetes	1609
k__Bacteria|p__Balneolaeota	7
k__Bacteria|p__Gemmatimonadetes	90
k__Bacteria|p__Planctomycetes	630
k__Bacteria|p__Verrucomicrobia	81
k__Bacteria|p__Chlamydiae	8
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Bacteria|p__Spirochaetes	5
k__Bacteria|p__Synergistetes	74
k__Bacteria|p__Fusobacteria	1
k__Eukaryota	64470
k__Eukaryota|k__Viridiplantae	59230
k__Eukaryota|k__Viridiplantae|p__Streptophyta	59221
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	8
k__Eukaryota|k__Metazoa	4631
k__Eukaryota|k__Metazoa|p__Chordata	4631
k__Eukaryota|k__Fungi	609
k__Eukaryota|k__Fungi|p__Ascomycota	559
k__Eukaryota|k__Fungi|p__Basidiomycota	49
k__Archaea	5
k__Archaea|p__Euryarchaeota	5
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
