#Classification	S-3-POLCOM-G_bracken_C.kreport
k__Bacteria	297279
k__Bacteria|p__Proteobacteria	224812
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	111115
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	59291
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	54142
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	242
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	13
k__Bacteria|p__Proteobacteria|c__Oligoflexia	6
k__Bacteria|p__Actinobacteria	59400
k__Bacteria|p__Actinobacteria|c__Actinomycetia	56346
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	1706
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	990
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	101
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	255
k__Bacteria|p__Firmicutes	2406
k__Bacteria|p__Firmicutes|c__Bacilli	2383
k__Bacteria|p__Firmicutes|c__Clostridia	22
k__Bacteria|p__Deinococcus-Thermus	4
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	4
k__Bacteria|p__Tenericutes	2
k__Bacteria|p__Tenericutes|c__Mollicutes	2
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	1
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Anaerolineae	1
k__Bacteria|p__Acidobacteria	8140
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	8138
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	1
k__Bacteria|p__Bacteroidetes	1616
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	1334
k__Bacteria|p__Bacteroidetes|c__Cytophagia	181
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	60
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	31
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	8
k__Bacteria|p__Gemmatimonadetes	90
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	90
k__Bacteria|p__Planctomycetes	630
k__Bacteria|p__Planctomycetes|c__Planctomycetia	606
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	23
k__Bacteria|p__Verrucomicrobia	81
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	70
k__Bacteria|p__Verrucomicrobia|c__Opitutae	5
k__Bacteria|p__Verrucomicrobia|c__Spartobacteria	6
k__Bacteria|p__Chlamydiae	8
k__Bacteria|p__Chlamydiae|c__Chlamydiia	8
k__Bacteria|p__Synergistetes	74
k__Bacteria|p__Synergistetes|c__Synergistia	74
k__Bacteria|p__Spirochaetes	5
k__Bacteria|p__Spirochaetes|c__Spirochaetia	5
k__Bacteria|c__Candidatus_Babeliae	2
k__Bacteria|p__Fusobacteria	1
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1
k__Eukaryota	64470
k__Eukaryota|k__Viridiplantae	59230
k__Eukaryota|k__Viridiplantae|p__Streptophyta	59221
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	44453
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	14768
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	8
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	7
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae	1
k__Eukaryota|k__Metazoa	4631
k__Eukaryota|k__Metazoa|p__Chordata	4631
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	4631
k__Eukaryota|k__Fungi	609
k__Eukaryota|k__Fungi|p__Ascomycota	559
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	115
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	268
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	93
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	76
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	5
k__Eukaryota|k__Fungi|p__Basidiomycota	49
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	48
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	1
k__Archaea	5
k__Archaea|p__Euryarchaeota	5
k__Archaea|p__Euryarchaeota|c__Halobacteria	5
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	1
