#Classification	SRR20002452_bracken_P.kreport
k__Bacteria	455752
k__Bacteria|p__Actinobacteria	37265
k__Bacteria|p__Firmicutes	151382
k__Bacteria|p__Deinococcus-Thermus	6544
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Proteobacteria	259252
k__Bacteria|p__Bacteroidetes	1256
k__Bacteria|p__Verrucomicrobia	44
k__Bacteria|p__Chlamydiae	5
k__Eukaryota	4421
k__Eukaryota|k__Fungi	2344
k__Eukaryota|k__Fungi|p__Basidiomycota	2285
k__Eukaryota|k__Fungi|p__Ascomycota	58
k__Eukaryota|k__Metazoa	1980
k__Eukaryota|k__Metazoa|p__Chordata	1980
k__Eukaryota|k__Viridiplantae	96
k__Eukaryota|k__Viridiplantae|p__Streptophyta	96
k__Viruses	55
k__Viruses|k__Heunggongvirae	55
k__Viruses|k__Heunggongvirae|p__Uroviricota	55
