feature	Acetobacteraceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Aeromonadaceae	Akkermansiaceae	Alcaligenaceae	Alicyclobacillaceae	Atopobiaceae	Aurantimonadaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Bifidobacteriaceae	Boseaceae	Bradyrhizobiaceae	Brevibacteriaceae	Brucellaceae	Burkholderiaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Caulobacteraceae	Chromatiaceae	Chromobacteriaceae	Chroococcidiopsidaceae	Clostridiaceae	Clostridiales.Family.XVII..Incertae.Sedis	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Cytophagaceae	Deinococcaceae	Dermabacteraceae	Dermacoccaceae	Dietziaceae	Ectothiorhodospiraceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Erythrobacteraceae	Eubacteriales.Family.XIII..Incertae.Sedis	Flavobacteriaceae	Fusobacteriaceae	Geodermatophilaceae	Gordoniaceae	Halieaceae	Halomonadaceae	Hydrogenophilaceae	Hymenobacteraceae	Intrasporangiaceae	Kytococcaceae	Lachnospiraceae	Lactobacillaceae	Lawsonellaceae	Leptotrichiaceae	Listeriaceae	Methylobacteriaceae	Methylococcaceae	Microbacteriaceae	Micrococcaceae	Micromonosporaceae	Miltoncostaeaceae	Moraxellaceae	Morganellaceae	Mycobacteriaceae	Mycoplasmataceae	Nakamurellaceae	Neisseriaceae	Nocardiaceae	Nocardioidaceae	Nocardiopsaceae	Odoribacteraceae	Ornithinimicrobiaceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Parachlamydiaceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Pseudonocardiaceae	Rhizobiaceae	Rhodanobacteraceae	Rhodobacteraceae	Rhodocyclaceae	Rikenellaceae	Selenomonadaceae	Shewanellaceae	Sinobacteraceae	Sphingobacteriaceae	Sphingomonadaceae	Staphylococcaceae	Stappiaceae	Streptococcaceae	Streptomycetaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Thermaceae	Thermoactinomycetaceae	Thioalkalispiraceae	Treponemataceae	Tsukamurellaceae	Veillonellaceae	Vibrionaceae	Weeksellaceae	Xanthobacteraceae	Xanthomonadaceae	Yersiniaceae	Zoogloeaceae
SRR20002365	39	3	330	50	144	39	131	0	0	0	451	45	324	236	0	0	22	0	16486	7	0	0	202	0	7	1	0	0	3333	69	3916	0	5	0	536	12	39	64	1181	274	12	0	14	0	0	0	0	18	0	726	5	0	6	0	537	92	5	15	18	464	0	48	21305	0	0	89450	0	865	0	0	464	50	0	0	1	0	1554	1675	0	2	19	11634	0	0	257	0	132	209313	1318995	10	1611	0	214	0	42	0	299	80	7	5814	165654	0	10663	3	4	3	0	70	0	0	0	0	3	0	899	12	293	0	0
SRR20002368	68	0	30	0	0	0	2638	0	0	28	255	15	84	47	0	25	37	0	4982	0	0	1	129	0	31	0	3	0	1128	0	284	0	0	10	371	0	0	0	220	144	0	0	10	0	0	0	0	2	0	426	13	0	5	0	8	29	0	0	74	125	0	11	514	0	0	22716	72	229	0	0	18	11	1	0	0	1	28	633	1	7	0	3	0	0	5	17	5	13665	241623	0	344	30	49	0	31	0	48	10	1	1354	8396656	0	50	0	0	0	1	9	0	0	0	0	0	0	40	0	93	31	0
SRR20002369	0	0	441	59378	0	0	2	0	0	0	0	0	7	145284	0	0	0	0	42	0	0	0	2	0	0	0	0	0	0	0	124	0	0	0	1	0	0	0	127989	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6736	0	0	0	0	0	0	0	0	0	45	19	1	23	0	0	0	0	0	0	0	12	5	0	0	1866359	11	1	0	0	0	22	215	546	0	1	0	0	0	4	0	0	6	0	4	26176	0	148	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SRR20002371	1032	7	107	0	0	18	60	0	0	5	956	160	365	155	0	0	15	8	1097	4	0	7	27	0	0	0	31	0	432	72	230	1	9	0	39	0	7	31	4535	79	3	24	0	0	0	0	1	15	0	51	82	0	5	57	271	156	3	2	22	13	1	20	423	0	0	15597	25	135	0	0	29	5	0	0	1	0	381	151	0	0	21	2	0	0	6	0	13	16278	31954	4	54	49	23	0	86	0	0	6	0	317	77222	4	10723	14	10	0	40	1228	0	0	1	0	14	0	16	0	90	0	0
SRR20002373	26	1	87	151	110	90	17196	11	0	0	2794	1522	683	257	0	39	98	0	19750	0	1	650	391	0	8	0	26	6	6377	284	3610	0	7	0	1530	35	44	29	2006	319	325	7	0	0	5	0	0	189	0	1020	887	0	56	1400	346	899	14	0	1819	594	1	58	1023	0	0	98768	292	943	0	4	129	171	40	64	0	12	915	2434	23	11	239	5	64	2	48	3	78	42297	1121485	5	1608	0	184	0	541	0	23	15	23	6439	114148	24	339	61	16	0	25	7168	0	0	0	0	7	31	262	0	672	124	3
SRR20002375	32	0	69	73	120	1	138	2	0	0	759	597	104	152	1	0	168	28	8295	0	1	37	156	0	3	130	0	3	3284	100	1925	0	128	27	117	4	18	75	570	101	531	23	3	0	12	0	0	61	0	359	372	0	50	238	149	519	0	0	232	118	1	107	1289	0	0	43920	105	299	0	0	32	3317	8	0	0	30	378	1027	3	3	18	22	0	0	11	6	49	25026	444161	16	568	123	155	0	42	0	0	8	11	2583	44875	6	732	4	0	0	3	2005	0	0	0	0	10	27	9	7	322	0	0
SRR20002377	0	3	0	0	0	0	29	0	0	10	78	0	41	10	0	0	12	0	890	0	0	2	16	0	0	0	0	0	153	28	35	0	0	1	58	9	0	9	0	3	3	0	1	0	0	0	0	9	0	29	2	0	1	0	18	5	0	0	0	60	0	13	375	0	0	3522	7	27	0	0	0	4	6	0	0	2	56	115	1	4	7	0	0	0	7	0	1	5017	25458	1	92	0	0	0	17	0	72	0	0	146	169622	0	13	0	3	0	0	3	0	0	0	0	0	0	0	0	28	0	0
SRR20002378	58	0	65	26	297	8	448	1	1	0	609	72	73	207	0	7	14	25	3200	0	0	9	123	0	2	0	0	0	644	49	346	0	3	0	189	4	0	8	389	47	0	0	7	0	0	0	0	0	0	136	9	0	20	3	69	191	0	0	17	68	0	56	460	0	4	25961	0	207	0	3	12	28	0	0	0	0	227	417	2	0	13	10	6	0	5	0	21	3826	157263	3	219	0	83	0	58	0	226	7	4	1743	65034	0	174	18	1	0	22	21	0	0	0	8	9	0	26	2	248	0	0
SRR20002379	57	2	67	21	0	1	4265	4	1	14	532	124	135	164	0	17	117	177	22009	0	0	30	934	1	2	1	45	0	6371	233	636	0	14	0	389	227	40	33	567	873	193	0	3	0	0	1	3	125	0	712	32	0	184	25	112	94	0	0	74	360	0	128	1671	0	0	80922	198	924	0	344	37	213	86	0	0	265	395	2231	0	10	10	6	1	2	7	13	15	10479	1897708	10	1012	5103	212	10	33	0	0	24	3	3892	10857	62	109	0	4	0	0	0	0	0	0	0	13	0	466	1	1420	0	17
SRR20002380	0	0	0	0	10	1	14	0	5	0	216	1208	1	189	0	0	6	0	589	0	0	2	0	0	0	0	2	0	34	5	93	0	5	0	70	1	0	0	73	20	0	0	0	0	0	0	0	0	0	30	5	0	0	0	4	12	0	0	0	0	0	16	98	245	0	2359	26	82	0	0	0	0	0	0	0	0	9	112	9	0	16	0	0	0	14	0	0	1088	28644	0	58	0	0	2	0	0	14	0	0	112	6701733	0	23	0	0	0	0	0	0	3	0	0	0	2	5	1	18	0	0
