#Classification	GQ24_bracken_P.kreport
k__Bacteria	4158030
k__Bacteria|p__Firmicutes	2550534
k__Bacteria|p__Actinobacteria	362213
k__Bacteria|p__Cyanobacteria	22
k__Bacteria|p__Tenericutes	16
k__Bacteria|p__Chloroflexi	5
k__Bacteria|p__Deinococcus-Thermus	3
k__Bacteria|p__Bacteroidetes	910173
k__Bacteria|p__Balneolaeota	1
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Proteobacteria	302392
k__Bacteria|p__Candidatus_Saccharibacteria	16415
k__Bacteria|p__Fusobacteria	15145
k__Bacteria|p__Spirochaetes	920
k__Bacteria|p__Synergistetes	168
k__Bacteria|p__Planctomycetes	11
k__Bacteria|p__Verrucomicrobia	3
k__Bacteria|p__Chlamydiae	2
k__Bacteria|p__Thermodesulfobacteria	1
k__Eukaryota	8060
k__Eukaryota|k__Metazoa	6390
k__Eukaryota|k__Metazoa|p__Chordata	6390
k__Eukaryota|k__Fungi	33
k__Eukaryota|k__Fungi|p__Basidiomycota	32
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Eukaryota|k__Viridiplantae	1400
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1399
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|p__Apicomplexa	235
k__Archaea	4
k__Archaea|p__Euryarchaeota	4
k__Viruses	263
k__Viruses|k__Heunggongvirae	263
k__Viruses|k__Heunggongvirae|p__Uroviricota	253
k__Viruses|k__Heunggongvirae|p__Peploviricota	10
