#Classification	S-3-POLCOM-G_bracken_C.kreport
k__Bacteria	129787
k__Bacteria|p__Proteobacteria	105160
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	41656
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	38188
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	25287
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	26
k__Bacteria|p__Proteobacteria|c__Oligoflexia	1
k__Bacteria|p__Actinobacteria	20540
k__Bacteria|p__Actinobacteria|c__Actinomycetia	19378
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	420
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	10
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	731
k__Bacteria|p__Firmicutes	752
k__Bacteria|p__Firmicutes|c__Bacilli	752
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	1
k__Bacteria|p__Acidobacteria	2652
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2652
k__Bacteria|p__Bacteroidetes	502
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	443
k__Bacteria|p__Bacteroidetes|c__Cytophagia	42
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	10
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	5
k__Bacteria|p__Planctomycetes	163
k__Bacteria|p__Planctomycetes|c__Planctomycetia	161
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	1
k__Bacteria|p__Verrucomicrobia	8
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	8
k__Bacteria|p__Chlamydiae	6
k__Bacteria|p__Chlamydiae|c__Chlamydiia	6
k__Eukaryota	24898
k__Eukaryota|k__Viridiplantae	23224
k__Eukaryota|k__Viridiplantae|p__Streptophyta	23224
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	20601
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	2623
k__Eukaryota|k__Metazoa	1557
k__Eukaryota|k__Metazoa|p__Chordata	1557
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	1557
k__Eukaryota|k__Fungi	117
k__Eukaryota|k__Fungi|p__Ascomycota	103
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	77
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	9
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	14
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	2
k__Eukaryota|k__Fungi|p__Basidiomycota	13
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	13
