#Classification	GQ9_bracken_F.kreport
k__Bacteria	5777435
k__Bacteria|p__Firmicutes	1903591
k__Bacteria|p__Firmicutes|c__Bacilli	1285154
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1285068
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	1112745
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	28777
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	38337
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	7202
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	98004
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	85
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	85
k__Bacteria|p__Firmicutes|c__Negativicutes	489158
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	410770
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	410770
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	78387
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	78387
k__Bacteria|p__Firmicutes|c__Clostridia	111996
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	111996
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII._Incertae_Sedis	107641
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	1840
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	2313
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	201
k__Bacteria|p__Firmicutes|c__Tissierellia	17272
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	17272
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	17272
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	9
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	9
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	9
k__Bacteria|p__Actinobacteria	1189791
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1187886
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	1068077
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	1068073
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Tropherymataceae	4
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	110778
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	110778
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	6622
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	6596
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Lawsonellaceae	20
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	4
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2387
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	2387
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	20
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	20
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1905
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	1905
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	1871
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	33
k__Bacteria|p__Tenericutes	1
k__Bacteria|p__Tenericutes|c__Mollicutes	1
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	1
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae	1
k__Bacteria|p__Bacteroidetes	1485495
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1425026
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	1425026
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	1306483
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	110786
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	7016
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	733
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	6
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	60469
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	60469
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	60449
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae	19
k__Bacteria|p__Proteobacteria	989086
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	467731
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	461259
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	461259
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	6472
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	6186
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	284
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	401535
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	399903
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	399903
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	896
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	896
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	686
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	686
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	24
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	24
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	18
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	18
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales|f__Immundisolibacteraceae	2
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	119768
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	119768
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	119768
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	50
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	44
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	44
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae	2
