#Classification	GQ34_bracken_P.kreport
k__Bacteria	10001900
k__Bacteria|p__Firmicutes	5962932
k__Bacteria|p__Actinobacteria	95441
k__Bacteria|p__Bacteroidetes	3811563
k__Bacteria|p__Proteobacteria	131210
k__Bacteria|p__Fusobacteria	725
k__Bacteria|p__Spirochaetes	20
k__Bacteria|p__Candidatus_Saccharibacteria	4
k__Bacteria|p__Verrucomicrobia	3
k__Eukaryota	306
k__Eukaryota|k__Fungi	190
k__Eukaryota|k__Fungi|p__Ascomycota	190
k__Eukaryota|k__Viridiplantae	115
k__Eukaryota|k__Viridiplantae|p__Streptophyta	115
k__Archaea	2
k__Archaea|p__Euryarchaeota	2
k__Viruses	3443
k__Viruses|k__Heunggongvirae	3443
k__Viruses|k__Heunggongvirae|p__Uroviricota	3443
