#Classification	S-9-POLJUN-B_bracken_P.kreport
k__Bacteria	444607
k__Bacteria|p__Proteobacteria	310874
k__Bacteria|p__Actinobacteria	80275
k__Bacteria|p__Cyanobacteria	32038
k__Bacteria|p__Firmicutes	7688
k__Bacteria|p__Armatimonadetes	12
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	6966
k__Bacteria|p__Bacteroidetes	5624
k__Bacteria|p__Gemmatimonadetes	39
k__Bacteria|p__Planctomycetes	1026
k__Bacteria|p__Verrucomicrobia	43
k__Bacteria|p__Chlamydiae	8
k__Bacteria|p__Candidatus_Saccharibacteria	9
k__Eukaryota	8028
k__Eukaryota|k__Viridiplantae	5123
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5102
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	21
k__Eukaryota|k__Fungi	2043
k__Eukaryota|k__Fungi|p__Ascomycota	1642
k__Eukaryota|k__Fungi|p__Basidiomycota	401
k__Eukaryota|k__Metazoa	850
k__Eukaryota|k__Metazoa|p__Chordata	850
k__Eukaryota|p__Euglenozoa	9
k__Eukaryota|p__Cercozoa	1
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
