#Classification	S-6-POLCOM-B_bracken_O.kreport
k__Bacteria	1410446
k__Bacteria|p__Proteobacteria	983942
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	519993
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	279192
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	141151
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	66167
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	23113
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	9442
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	399
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	271
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	130
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	86
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	13
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	22
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	338293
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	328806
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	5421
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2003
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2062
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	115033
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	35766
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	30212
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	33810
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2016
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	854
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	2707
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	386
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	3115
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	3898
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	571
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	386
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	76
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	672
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	163
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	30
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	94
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	198
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	59
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	8
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	10171
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	8876
